Wire:1, Value:1, Discovered faults:{'1_s-a-0'} 
Wire:13, Value:0, Discovered faults:{'13_s-a-1'} 
Wire:20, Value:0, Discovered faults:{'20_s-a-1'} 
Wire:33, Value:1, Discovered faults:{'33_s-a-0'} 
Wire:41, Value:0, Discovered faults:{'41_s-a-1'} 
Wire:45, Value:0, Discovered faults:{'45_s-a-1'} 
Wire:50, Value:0, Discovered faults:{'50_s-a-1'} 
Wire:58, Value:1, Discovered faults:{'58_s-a-0'} 
Wire:68, Value:0, Discovered faults:{'68_s-a-1'} 
Wire:77, Value:0, Discovered faults:{'77_s-a-1'} 
Wire:87, Value:1, Discovered faults:{'87_s-a-0'} 
Wire:97, Value:0, Discovered faults:{'97_s-a-1'} 
Wire:107, Value:0, Discovered faults:{'107_s-a-1'} 
Wire:116, Value:1, Discovered faults:{'116_s-a-0'} 
Wire:124, Value:1, Discovered faults:{'124_s-a-0'} 
Wire:125, Value:0, Discovered faults:{'125_s-a-1'} 
Wire:128, Value:1, Discovered faults:{'128_s-a-0'} 
Wire:132, Value:0, Discovered faults:{'132_s-a-1'} 
Wire:137, Value:1, Discovered faults:{'137_s-a-0'} 
Wire:143, Value:0, Discovered faults:{'143_s-a-1'} 
Wire:150, Value:1, Discovered faults:{'150_s-a-0'} 
Wire:159, Value:1, Discovered faults:{'159_s-a-0'} 
Wire:169, Value:1, Discovered faults:{'169_s-a-0'} 
Wire:179, Value:1, Discovered faults:{'179_s-a-0'} 
Wire:190, Value:0, Discovered faults:{'190_s-a-1'} 
Wire:200, Value:1, Discovered faults:{'200_s-a-0'} 
Wire:213, Value:0, Discovered faults:{'213_s-a-1'} 
Wire:222, Value:1, Discovered faults:{'222_s-a-0'} 
Wire:223, Value:0, Discovered faults:{'223_s-a-1'} 
Wire:226, Value:0, Discovered faults:{'226_s-a-1'} 
Wire:232, Value:1, Discovered faults:{'232_s-a-0'} 
Wire:238, Value:1, Discovered faults:{'238_s-a-0'} 
Wire:244, Value:1, Discovered faults:{'244_s-a-0'} 
Wire:250, Value:0, Discovered faults:{'250_s-a-1'} 
Wire:257, Value:0, Discovered faults:{'257_s-a-1'} 
Wire:264, Value:1, Discovered faults:{'264_s-a-0'} 
Wire:270, Value:1, Discovered faults:{'270_s-a-0'} 
Wire:274, Value:0, Discovered faults:{'274_s-a-1'} 
Wire:283, Value:1, Discovered faults:{'283_s-a-0'} 
Wire:294, Value:0, Discovered faults:{'294_s-a-1'} 
Wire:303, Value:0, Discovered faults:{'303_s-a-1'} 
Wire:311, Value:1, Discovered faults:{'311_s-a-0'} 
Wire:317, Value:0, Discovered faults:{'317_s-a-1'} 
Wire:322, Value:0, Discovered faults:{'322_s-a-1'} 
Wire:326, Value:1, Discovered faults:{'326_s-a-0'} 
Wire:329, Value:0, Discovered faults:{'329_s-a-1'} 
Wire:330, Value:0, Discovered faults:{'330_s-a-1'} 
Wire:343, Value:0, Discovered faults:{'343_s-a-1'} 
Wire:349, Value:0, Discovered faults:{'349_s-a-1'} 
Wire:350, Value:0, Discovered faults:{'350_s-a-1'} 
Wire:68_3, Value:0, Discovered faults:{'68_3_s-a-1', '68_s-a-1'} 
Wire:68_4, Value:0, Discovered faults:{'68_4_s-a-1', '68_s-a-1'} 
Wire:68_5, Value:0, Discovered faults:{'68_5_s-a-1', '68_s-a-1'} 
Wire:68_6, Value:0, Discovered faults:{'68_6_s-a-1', '68_s-a-1'} 
Wire:68_7, Value:0, Discovered faults:{'68_7_s-a-1', '68_s-a-1'} 
Wire:68_8, Value:0, Discovered faults:{'68_8_s-a-1', '68_s-a-1'} 
Wire:77_1, Value:0, Discovered faults:{'77_1_s-a-1', '77_s-a-1'} 
Wire:77_2, Value:0, Discovered faults:{'77_2_s-a-1', '77_s-a-1'} 
Wire:77_3, Value:0, Discovered faults:{'77_3_s-a-1', '77_s-a-1'} 
Wire:77_4, Value:0, Discovered faults:{'77_4_s-a-1', '77_s-a-1'} 
Wire:77_5, Value:0, Discovered faults:{'77_5_s-a-1', '77_s-a-1'} 
Wire:77_6, Value:0, Discovered faults:{'77_6_s-a-1', '77_s-a-1'} 
Wire:77_7, Value:0, Discovered faults:{'77_7_s-a-1', '77_s-a-1'} 
Wire:77_8, Value:0, Discovered faults:{'77_8_s-a-1', '77_s-a-1'} 
Wire:77_9, Value:0, Discovered faults:{'77_9_s-a-1', '77_s-a-1'} 
Wire:87_1, Value:1, Discovered faults:{'87_1_s-a-0', '87_s-a-0'} 
Wire:87_2, Value:1, Discovered faults:{'87_2_s-a-0', '87_s-a-0'} 
Wire:87_3, Value:1, Discovered faults:{'87_3_s-a-0', '87_s-a-0'} 
Wire:87_4, Value:1, Discovered faults:{'87_4_s-a-0', '87_s-a-0'} 
Wire:87_5, Value:1, Discovered faults:{'87_5_s-a-0', '87_s-a-0'} 
Wire:87_6, Value:1, Discovered faults:{'87_s-a-0', '87_6_s-a-0'} 
Wire:87_7, Value:1, Discovered faults:{'87_7_s-a-0', '87_s-a-0'} 
Wire:87_8, Value:1, Discovered faults:{'87_8_s-a-0', '87_s-a-0'} 
Wire:87_9, Value:1, Discovered faults:{'87_s-a-0', '87_9_s-a-0'} 
Wire:97_1, Value:0, Discovered faults:{'97_s-a-1', '97_1_s-a-1'} 
Wire:97_2, Value:0, Discovered faults:{'97_s-a-1', '97_2_s-a-1'} 
Wire:97_3, Value:0, Discovered faults:{'97_s-a-1', '97_3_s-a-1'} 
Wire:97_4, Value:0, Discovered faults:{'97_s-a-1', '97_4_s-a-1'} 
Wire:97_5, Value:0, Discovered faults:{'97_s-a-1', '97_5_s-a-1'} 
Wire:97_6, Value:0, Discovered faults:{'97_s-a-1', '97_6_s-a-1'} 
Wire:97_7, Value:0, Discovered faults:{'97_s-a-1', '97_7_s-a-1'} 
Wire:97_8, Value:0, Discovered faults:{'97_s-a-1', '97_8_s-a-1'} 
Wire:97_9, Value:0, Discovered faults:{'97_s-a-1', '97_9_s-a-1'} 
Wire:107_1, Value:0, Discovered faults:{'107_1_s-a-1', '107_s-a-1'} 
Wire:107_2, Value:0, Discovered faults:{'107_2_s-a-1', '107_s-a-1'} 
Wire:107_3, Value:0, Discovered faults:{'107_3_s-a-1', '107_s-a-1'} 
Wire:107_4, Value:0, Discovered faults:{'107_4_s-a-1', '107_s-a-1'} 
Wire:107_5, Value:0, Discovered faults:{'107_5_s-a-1', '107_s-a-1'} 
Wire:107_6, Value:0, Discovered faults:{'107_6_s-a-1', '107_s-a-1'} 
Wire:107_7, Value:0, Discovered faults:{'107_7_s-a-1', '107_s-a-1'} 
Wire:107_8, Value:0, Discovered faults:{'107_8_s-a-1', '107_s-a-1'} 
Wire:116_1, Value:1, Discovered faults:{'116_s-a-0', '116_1_s-a-0'} 
Wire:116_2, Value:1, Discovered faults:{'116_2_s-a-0', '116_s-a-0'} 
Wire:116_3, Value:1, Discovered faults:{'116_3_s-a-0', '116_s-a-0'} 
Wire:116_4, Value:1, Discovered faults:{'116_4_s-a-0', '116_s-a-0'} 
Wire:116_5, Value:1, Discovered faults:{'116_s-a-0', '116_5_s-a-0'} 
Wire:116_6, Value:1, Discovered faults:{'116_6_s-a-0', '116_s-a-0'} 
Wire:116_7, Value:1, Discovered faults:{'116_s-a-0', '116_7_s-a-0'} 
Wire:125_1, Value:0, Discovered faults:{'125_1_s-a-1', '125_s-a-1'} 
Wire:125_2, Value:0, Discovered faults:{'125_s-a-1', '125_2_s-a-1'} 
Wire:128_1, Value:1, Discovered faults:{'128_1_s-a-0', '128_s-a-0'} 
Wire:128_2, Value:1, Discovered faults:{'128_2_s-a-0', '128_s-a-0'} 
Wire:128_3, Value:1, Discovered faults:{'128_3_s-a-0', '128_s-a-0'} 
Wire:132_1, Value:0, Discovered faults:{'132_s-a-1', '132_1_s-a-1'} 
Wire:132_2, Value:0, Discovered faults:{'132_s-a-1', '132_2_s-a-1'} 
Wire:132_3, Value:0, Discovered faults:{'132_3_s-a-1', '132_s-a-1'} 
Wire:132_4, Value:0, Discovered faults:{'132_s-a-1', '132_4_s-a-1'} 
Wire:137_1, Value:1, Discovered faults:{'137_s-a-0', '137_1_s-a-0'} 
Wire:137_2, Value:1, Discovered faults:{'137_2_s-a-0', '137_s-a-0'} 
Wire:137_3, Value:1, Discovered faults:{'137_s-a-0', '137_3_s-a-0'} 
Wire:137_4, Value:1, Discovered faults:{'137_4_s-a-0', '137_s-a-0'} 
Wire:137_5, Value:1, Discovered faults:{'137_s-a-0', '137_5_s-a-0'} 
Wire:143_1, Value:0, Discovered faults:{'143_1_s-a-1', '143_s-a-1'} 
Wire:143_2, Value:0, Discovered faults:{'143_2_s-a-1', '143_s-a-1'} 
Wire:143_3, Value:0, Discovered faults:{'143_3_s-a-1', '143_s-a-1'} 
Wire:143_4, Value:0, Discovered faults:{'143_4_s-a-1', '143_s-a-1'} 
Wire:143_5, Value:0, Discovered faults:{'143_5_s-a-1', '143_s-a-1'} 
Wire:143_6, Value:0, Discovered faults:{'143_6_s-a-1', '143_s-a-1'} 
Wire:150_1, Value:1, Discovered faults:{'150_s-a-0', '150_1_s-a-0'} 
Wire:150_2, Value:1, Discovered faults:{'150_2_s-a-0', '150_s-a-0'} 
Wire:150_3, Value:1, Discovered faults:{'150_3_s-a-0', '150_s-a-0'} 
Wire:150_4, Value:1, Discovered faults:{'150_s-a-0', '150_4_s-a-0'} 
Wire:150_5, Value:1, Discovered faults:{'150_s-a-0', '150_5_s-a-0'} 
Wire:150_6, Value:1, Discovered faults:{'150_s-a-0', '150_6_s-a-0'} 
Wire:150_7, Value:1, Discovered faults:{'150_7_s-a-0', '150_s-a-0'} 
Wire:150_8, Value:1, Discovered faults:{'150_s-a-0', '150_8_s-a-0'} 
Wire:159_1, Value:1, Discovered faults:{'159_s-a-0', '159_1_s-a-0'} 
Wire:159_2, Value:1, Discovered faults:{'159_2_s-a-0', '159_s-a-0'} 
Wire:159_3, Value:1, Discovered faults:{'159_s-a-0', '159_3_s-a-0'} 
Wire:159_4, Value:1, Discovered faults:{'159_s-a-0', '159_4_s-a-0'} 
Wire:159_5, Value:1, Discovered faults:{'159_5_s-a-0', '159_s-a-0'} 
Wire:159_6, Value:1, Discovered faults:{'159_s-a-0', '159_6_s-a-0'} 
Wire:159_7, Value:1, Discovered faults:{'159_7_s-a-0', '159_s-a-0'} 
Wire:159_8, Value:1, Discovered faults:{'159_s-a-0', '159_8_s-a-0'} 
Wire:159_9, Value:1, Discovered faults:{'159_9_s-a-0', '159_s-a-0'} 
Wire:169_1, Value:1, Discovered faults:{'169_s-a-0', '169_1_s-a-0'} 
Wire:169_2, Value:1, Discovered faults:{'169_s-a-0', '169_2_s-a-0'} 
Wire:169_3, Value:1, Discovered faults:{'169_s-a-0', '169_3_s-a-0'} 
Wire:169_4, Value:1, Discovered faults:{'169_s-a-0', '169_4_s-a-0'} 
Wire:169_5, Value:1, Discovered faults:{'169_s-a-0', '169_5_s-a-0'} 
Wire:169_6, Value:1, Discovered faults:{'169_s-a-0', '169_6_s-a-0'} 
Wire:169_7, Value:1, Discovered faults:{'169_s-a-0', '169_7_s-a-0'} 
Wire:169_8, Value:1, Discovered faults:{'169_s-a-0', '169_8_s-a-0'} 
Wire:169_9, Value:1, Discovered faults:{'169_s-a-0', '169_9_s-a-0'} 
Wire:179_1, Value:1, Discovered faults:{'179_s-a-0', '179_1_s-a-0'} 
Wire:179_2, Value:1, Discovered faults:{'179_2_s-a-0', '179_s-a-0'} 
Wire:179_3, Value:1, Discovered faults:{'179_3_s-a-0', '179_s-a-0'} 
Wire:179_4, Value:1, Discovered faults:{'179_s-a-0', '179_4_s-a-0'} 
Wire:179_5, Value:1, Discovered faults:{'179_s-a-0', '179_5_s-a-0'} 
Wire:179_6, Value:1, Discovered faults:{'179_6_s-a-0', '179_s-a-0'} 
Wire:179_7, Value:1, Discovered faults:{'179_7_s-a-0', '179_s-a-0'} 
Wire:179_8, Value:1, Discovered faults:{'179_s-a-0', '179_8_s-a-0'} 
Wire:179_9, Value:1, Discovered faults:{'179_s-a-0', '179_9_s-a-0'} 
Wire:179_10, Value:1, Discovered faults:{'179_10_s-a-0', '179_s-a-0'} 
Wire:190_1, Value:0, Discovered faults:{'190_1_s-a-1', '190_s-a-1'} 
Wire:190_2, Value:0, Discovered faults:{'190_s-a-1', '190_2_s-a-1'} 
Wire:190_3, Value:0, Discovered faults:{'190_3_s-a-1', '190_s-a-1'} 
Wire:190_4, Value:0, Discovered faults:{'190_4_s-a-1', '190_s-a-1'} 
Wire:190_5, Value:0, Discovered faults:{'190_5_s-a-1', '190_s-a-1'} 
Wire:190_6, Value:0, Discovered faults:{'190_6_s-a-1', '190_s-a-1'} 
Wire:190_7, Value:0, Discovered faults:{'190_7_s-a-1', '190_s-a-1'} 
Wire:190_8, Value:0, Discovered faults:{'190_8_s-a-1', '190_s-a-1'} 
Wire:190_9, Value:0, Discovered faults:{'190_s-a-1', '190_9_s-a-1'} 
Wire:200_1, Value:1, Discovered faults:{'200_s-a-0', '200_1_s-a-0'} 
Wire:200_2, Value:1, Discovered faults:{'200_s-a-0', '200_2_s-a-0'} 
Wire:200_3, Value:1, Discovered faults:{'200_s-a-0', '200_3_s-a-0'} 
Wire:200_4, Value:1, Discovered faults:{'200_s-a-0', '200_4_s-a-0'} 
Wire:200_5, Value:1, Discovered faults:{'200_s-a-0', '200_5_s-a-0'} 
Wire:200_6, Value:1, Discovered faults:{'200_s-a-0', '200_6_s-a-0'} 
Wire:200_7, Value:1, Discovered faults:{'200_s-a-0', '200_7_s-a-0'} 
Wire:200_8, Value:1, Discovered faults:{'200_s-a-0', '200_8_s-a-0'} 
Wire:200_9, Value:1, Discovered faults:{'200_s-a-0', '200_9_s-a-0'} 
Wire:200_10, Value:1, Discovered faults:{'200_s-a-0', '200_10_s-a-0'} 
Wire:200_11, Value:1, Discovered faults:{'200_s-a-0', '200_11_s-a-0'} 
Wire:200_12, Value:1, Discovered faults:{'200_s-a-0', '200_12_s-a-0'} 
Wire:213_1, Value:0, Discovered faults:{'213_1_s-a-1', '213_s-a-1'} 
Wire:213_2, Value:0, Discovered faults:{'213_s-a-1', '213_2_s-a-1'} 
Wire:213_3, Value:0, Discovered faults:{'213_3_s-a-1', '213_s-a-1'} 
Wire:213_4, Value:0, Discovered faults:{'213_4_s-a-1', '213_s-a-1'} 
Wire:213_5, Value:0, Discovered faults:{'213_5_s-a-1', '213_s-a-1'} 
Wire:213_6, Value:0, Discovered faults:{'213_6_s-a-1', '213_s-a-1'} 
Wire:213_7, Value:0, Discovered faults:{'213_7_s-a-1', '213_s-a-1'} 
Wire:213_8, Value:0, Discovered faults:{'213_8_s-a-1', '213_s-a-1'} 
Wire:223_1, Value:0, Discovered faults:{'223_1_s-a-1', '223_s-a-1'} 
Wire:223_2, Value:0, Discovered faults:{'223_2_s-a-1', '223_s-a-1'} 
Wire:226_1, Value:0, Discovered faults:{'226_s-a-1', '226_1_s-a-1'} 
Wire:226_2, Value:0, Discovered faults:{'226_2_s-a-1', '226_s-a-1'} 
Wire:226_3, Value:0, Discovered faults:{'226_s-a-1', '226_3_s-a-1'} 
Wire:226_4, Value:0, Discovered faults:{'226_4_s-a-1', '226_s-a-1'} 
Wire:226_5, Value:0, Discovered faults:{'226_5_s-a-1', '226_s-a-1'} 
Wire:232_1, Value:1, Discovered faults:{'232_1_s-a-0', '232_s-a-0'} 
Wire:232_2, Value:1, Discovered faults:{'232_2_s-a-0', '232_s-a-0'} 
Wire:232_3, Value:1, Discovered faults:{'232_3_s-a-0', '232_s-a-0'} 
Wire:232_4, Value:1, Discovered faults:{'232_4_s-a-0', '232_s-a-0'} 
Wire:232_5, Value:1, Discovered faults:{'232_s-a-0', '232_5_s-a-0'} 
Wire:238_1, Value:1, Discovered faults:{'238_1_s-a-0', '238_s-a-0'} 
Wire:238_2, Value:1, Discovered faults:{'238_2_s-a-0', '238_s-a-0'} 
Wire:238_3, Value:1, Discovered faults:{'238_3_s-a-0', '238_s-a-0'} 
Wire:238_4, Value:1, Discovered faults:{'238_4_s-a-0', '238_s-a-0'} 
Wire:238_5, Value:1, Discovered faults:{'238_s-a-0', '238_5_s-a-0'} 
Wire:244_1, Value:1, Discovered faults:{'244_s-a-0', '244_1_s-a-0'} 
Wire:244_2, Value:1, Discovered faults:{'244_s-a-0', '244_2_s-a-0'} 
Wire:244_3, Value:1, Discovered faults:{'244_s-a-0', '244_3_s-a-0'} 
Wire:244_4, Value:1, Discovered faults:{'244_s-a-0', '244_4_s-a-0'} 
Wire:244_5, Value:1, Discovered faults:{'244_5_s-a-0', '244_s-a-0'} 
Wire:250_1, Value:0, Discovered faults:{'250_s-a-1', '250_1_s-a-1'} 
Wire:250_2, Value:0, Discovered faults:{'250_s-a-1', '250_2_s-a-1'} 
Wire:250_3, Value:0, Discovered faults:{'250_s-a-1', '250_3_s-a-1'} 
Wire:250_4, Value:0, Discovered faults:{'250_s-a-1', '250_4_s-a-1'} 
Wire:250_5, Value:0, Discovered faults:{'250_s-a-1', '250_5_s-a-1'} 
Wire:250_6, Value:0, Discovered faults:{'250_s-a-1', '250_6_s-a-1'} 
Wire:257_1, Value:0, Discovered faults:{'257_1_s-a-1', '257_s-a-1'} 
Wire:257_2, Value:0, Discovered faults:{'257_2_s-a-1', '257_s-a-1'} 
Wire:257_3, Value:0, Discovered faults:{'257_s-a-1', '257_3_s-a-1'} 
Wire:257_4, Value:0, Discovered faults:{'257_4_s-a-1', '257_s-a-1'} 
Wire:257_5, Value:0, Discovered faults:{'257_5_s-a-1', '257_s-a-1'} 
Wire:257_6, Value:0, Discovered faults:{'257_6_s-a-1', '257_s-a-1'} 
Wire:264_1, Value:1, Discovered faults:{'264_1_s-a-0', '264_s-a-0'} 
Wire:264_2, Value:1, Discovered faults:{'264_2_s-a-0', '264_s-a-0'} 
Wire:264_3, Value:1, Discovered faults:{'264_s-a-0', '264_3_s-a-0'} 
Wire:264_4, Value:1, Discovered faults:{'264_s-a-0', '264_4_s-a-0'} 
Wire:264_5, Value:1, Discovered faults:{'264_s-a-0', '264_5_s-a-0'} 
Wire:270_1, Value:1, Discovered faults:{'270_1_s-a-0', '270_s-a-0'} 
Wire:270_2, Value:1, Discovered faults:{'270_2_s-a-0', '270_s-a-0'} 
Wire:270_3, Value:1, Discovered faults:{'270_3_s-a-0', '270_s-a-0'} 
Wire:274_1, Value:0, Discovered faults:{'274_s-a-1', '274_1_s-a-1'} 
Wire:274_2, Value:0, Discovered faults:{'274_2_s-a-1', '274_s-a-1'} 
Wire:274_3, Value:0, Discovered faults:{'274_3_s-a-1', '274_s-a-1'} 
Wire:274_4, Value:0, Discovered faults:{'274_s-a-1', '274_4_s-a-1'} 
Wire:274_5, Value:0, Discovered faults:{'274_s-a-1', '274_5_s-a-1'} 
Wire:274_6, Value:0, Discovered faults:{'274_6_s-a-1', '274_s-a-1'} 
Wire:274_7, Value:0, Discovered faults:{'274_s-a-1', '274_7_s-a-1'} 
Wire:274_8, Value:0, Discovered faults:{'274_8_s-a-1', '274_s-a-1'} 
Wire:283_1, Value:1, Discovered faults:{'283_1_s-a-0', '283_s-a-0'} 
Wire:283_2, Value:1, Discovered faults:{'283_2_s-a-0', '283_s-a-0'} 
Wire:283_3, Value:1, Discovered faults:{'283_3_s-a-0', '283_s-a-0'} 
