Wire:1, Value:1, Discovered faults:{'1_s-a-0'} 
Wire:343, Value:1, Discovered faults:{'343_s-a-0'} 
Wire:346, Value:1, Discovered faults:{'346_s-a-0'} 
Wire:349, Value:0, Discovered faults:{'349_s-a-1'} 
Wire:352, Value:0, Discovered faults:{'352_s-a-1'} 
Wire:355, Value:0, Discovered faults:{'355_s-a-1'} 
Wire:358, Value:1, Discovered faults:{'358_s-a-0'} 
Wire:361, Value:0, Discovered faults:{'361_s-a-1'} 
Wire:364, Value:0, Discovered faults:{'364_s-a-1'} 
Wire:367, Value:1, Discovered faults:{'367_s-a-0'} 
Wire:382, Value:1, Discovered faults:{'382_s-a-0'} 
Wire:467, Value:0, Discovered faults:{'467_s-a-1', '57_s-a-0'} 
Wire:469, Value:0, Discovered faults:{'469_s-a-1'} 
Wire:494, Value:0, Discovered faults:{'162_s-a-1', '494_s-a-1'} 
Wire:528, Value:0, Discovered faults:{'528_s-a-1'} 
Wire:575, Value:0, Discovered faults:{'575_s-a-1'} 
Wire:578, Value:0, Discovered faults:{'578_s-a-1', '218_s-a-1'} 
Wire:1_1, Value:1, Discovered faults:{'1_1_s-a-0', '1_s-a-0'} 
Wire:1_2, Value:1, Discovered faults:{'1_2_s-a-0', '1_s-a-0'} 
Wire:1_3, Value:1, Discovered faults:{'1_s-a-0', '1_3_s-a-0'} 
Wire:5_1, Value:1, Discovered faults:{'5_s-a-0', '5_1_s-a-0'} 
Wire:5_2, Value:1, Discovered faults:{'5_s-a-0', '5_2_s-a-0'} 
Wire:5_3, Value:1, Discovered faults:{'5_s-a-0', '5_3_s-a-0'} 
Wire:9_1, Value:1, Discovered faults:{'9_s-a-0', '9_1_s-a-0'} 
Wire:9_2, Value:1, Discovered faults:{'9_s-a-0', '9_2_s-a-0'} 
Wire:12_1, Value:0, Discovered faults:{'12_1_s-a-1', '12_s-a-1'} 
Wire:12_2, Value:0, Discovered faults:{'12_2_s-a-1', '12_s-a-1'} 
Wire:15_1, Value:1, Discovered faults:{'15_s-a-0', '15_1_s-a-0'} 
Wire:15_2, Value:1, Discovered faults:{'15_s-a-0', '15_2_s-a-0'} 
Wire:18_1, Value:0, Discovered faults:{'18_s-a-1', '18_1_s-a-1'} 
Wire:18_2, Value:0, Discovered faults:{'18_s-a-1', '18_2_s-a-1'} 
Wire:18_3, Value:0, Discovered faults:{'18_s-a-1', '18_3_s-a-1'} 
Wire:18_4, Value:0, Discovered faults:{'18_s-a-1', '18_4_s-a-1'} 
Wire:23_1, Value:0, Discovered faults:{'23_1_s-a-1', '23_s-a-1'} 
Wire:23_2, Value:0, Discovered faults:{'23_2_s-a-1', '23_s-a-1'} 
Wire:26_1, Value:1, Discovered faults:{'26_1_s-a-0', '26_s-a-0'} 
Wire:26_2, Value:1, Discovered faults:{'26_s-a-0', '26_2_s-a-0'} 
Wire:29_1, Value:0, Discovered faults:{'29_1_s-a-1', '29_s-a-1'} 
Wire:29_2, Value:0, Discovered faults:{'29_2_s-a-1', '29_s-a-1'} 
Wire:32_1, Value:1, Discovered faults:{'32_s-a-0', '32_1_s-a-0'} 
Wire:32_2, Value:1, Discovered faults:{'32_2_s-a-0', '32_s-a-0'} 
Wire:35_1, Value:0, Discovered faults:{'35_1_s-a-1', '35_s-a-1'} 
Wire:35_2, Value:0, Discovered faults:{'35_s-a-1', '35_2_s-a-1'} 
Wire:38_1, Value:0, Discovered faults:{'38_1_s-a-1', '38_s-a-1'} 
Wire:38_2, Value:0, Discovered faults:{'38_2_s-a-1', '38_s-a-1'} 
Wire:41_1, Value:1, Discovered faults:{'41_s-a-0', '41_1_s-a-0'} 
Wire:41_2, Value:1, Discovered faults:{'41_2_s-a-0', '41_s-a-0'} 
Wire:44_1, Value:0, Discovered faults:{'44_1_s-a-1', '44_s-a-1'} 
Wire:44_2, Value:0, Discovered faults:{'44_2_s-a-1', '44_s-a-1'} 
Wire:47_1, Value:1, Discovered faults:{'47_1_s-a-0', '47_s-a-0'} 
Wire:47_2, Value:1, Discovered faults:{'47_2_s-a-0', '47_s-a-0'} 
Wire:50_1, Value:0, Discovered faults:{'50_s-a-1', '50_1_s-a-1'} 
Wire:50_2, Value:0, Discovered faults:{'50_s-a-1', '50_2_s-a-1'} 
Wire:66_1, Value:0, Discovered faults:{'66_1_s-a-1', '66_s-a-1'} 
Wire:66_2, Value:0, Discovered faults:{'66_2_s-a-1', '66_s-a-1'} 
Wire:70_1, Value:0, Discovered faults:{'70_s-a-1', '70_1_s-a-1'} 
Wire:70_2, Value:0, Discovered faults:{'70_2_s-a-1', '70_s-a-1'} 
Wire:89_1, Value:0, Discovered faults:{'89_s-a-1', '89_1_s-a-1'} 
Wire:89_2, Value:0, Discovered faults:{'89_s-a-1', '89_2_s-a-1'} 
Wire:89_3, Value:0, Discovered faults:{'89_s-a-1', '89_3_s-a-1'} 
Wire:89_4, Value:0, Discovered faults:{'89_s-a-1', '89_4_s-a-1'} 
Wire:94_1, Value:1, Discovered faults:{'94_1_s-a-0', '94_s-a-0'} 
Wire:94_2, Value:1, Discovered faults:{'94_2_s-a-0', '94_s-a-0'} 
Wire:97_1, Value:0, Discovered faults:{'97_1_s-a-1', '97_s-a-1'} 
Wire:97_2, Value:0, Discovered faults:{'97_2_s-a-1', '97_s-a-1'} 
Wire:100_1, Value:1, Discovered faults:{'100_s-a-0', '100_1_s-a-0'} 
Wire:100_2, Value:1, Discovered faults:{'100_2_s-a-0', '100_s-a-0'} 
Wire:103_1, Value:0, Discovered faults:{'103_s-a-1', '103_1_s-a-1'} 
Wire:103_2, Value:0, Discovered faults:{'103_2_s-a-1', '103_s-a-1'} 
Wire:106_1, Value:1, Discovered faults:{'106_1_s-a-0', '106_s-a-0'} 
Wire:106_2, Value:1, Discovered faults:{'106_s-a-0', '106_2_s-a-0'} 
Wire:115_1, Value:0, Discovered faults:{'115_1_s-a-1', '115_s-a-1'} 
Wire:115_2, Value:0, Discovered faults:{'115_2_s-a-1', '115_s-a-1'} 
Wire:118_1, Value:0, Discovered faults:{'118_1_s-a-1', '118_s-a-1'} 
Wire:118_2, Value:0, Discovered faults:{'118_2_s-a-1', '118_s-a-1'} 
Wire:121_1, Value:0, Discovered faults:{'121_s-a-1', '121_1_s-a-1'} 
Wire:121_2, Value:0, Discovered faults:{'121_2_s-a-1', '121_s-a-1'} 
Wire:124_1, Value:1, Discovered faults:{'124_1_s-a-0', '124_s-a-0'} 
Wire:124_2, Value:1, Discovered faults:{'124_2_s-a-0', '124_s-a-0'} 
Wire:127_1, Value:0, Discovered faults:{'127_s-a-1', '127_1_s-a-1'} 
Wire:127_2, Value:0, Discovered faults:{'127_s-a-1', '127_2_s-a-1'} 
Wire:130_1, Value:1, Discovered faults:{'130_s-a-0', '130_1_s-a-0'} 
Wire:130_2, Value:1, Discovered faults:{'130_s-a-0', '130_2_s-a-0'} 
Wire:135_1, Value:1, Discovered faults:{'135_s-a-0', '135_1_s-a-0'} 
Wire:135_2, Value:1, Discovered faults:{'135_s-a-0', '135_2_s-a-0'} 
Wire:138_1, Value:0, Discovered faults:{'138_s-a-1', '138_1_s-a-1'} 
Wire:138_2, Value:0, Discovered faults:{'138_2_s-a-1', '138_s-a-1'} 
Wire:141_1, Value:1, Discovered faults:{'141_s-a-0', '141_1_s-a-0'} 
Wire:141_2, Value:1, Discovered faults:{'141_s-a-0', '141_2_s-a-0'} 
Wire:144_1, Value:1, Discovered faults:{'144_1_s-a-0', '144_s-a-0'} 
Wire:144_2, Value:1, Discovered faults:{'144_s-a-0', '144_2_s-a-0'} 
Wire:147_1, Value:0, Discovered faults:{'147_s-a-1', '147_1_s-a-1'} 
Wire:147_2, Value:0, Discovered faults:{'147_s-a-1', '147_2_s-a-1'} 
Wire:242_1, Value:1, Discovered faults:{'242_s-a-0', '242_1_s-a-0'} 
Wire:242_2, Value:1, Discovered faults:{'242_s-a-0', '242_2_s-a-0'} 
Wire:245_1, Value:1, Discovered faults:{'245_1_s-a-0', '245_s-a-0'} 
Wire:245_2, Value:1, Discovered faults:{'245_2_s-a-0', '245_s-a-0'} 
Wire:248_1, Value:1, Discovered faults:{'248_1_s-a-0', '248_s-a-0'} 
Wire:248_2, Value:1, Discovered faults:{'248_2_s-a-0', '248_s-a-0'} 
Wire:251_1, Value:0, Discovered faults:{'251_s-a-1', '251_1_s-a-1'} 
Wire:251_2, Value:0, Discovered faults:{'251_2_s-a-1', '251_s-a-1'} 
Wire:254_1, Value:1, Discovered faults:{'254_s-a-0', '254_1_s-a-0'} 
Wire:254_2, Value:1, Discovered faults:{'254_s-a-0', '254_2_s-a-0'} 
Wire:257_1, Value:1, Discovered faults:{'257_1_s-a-0', '257_s-a-0'} 
Wire:257_2, Value:1, Discovered faults:{'257_2_s-a-0', '257_s-a-0'} 
Wire:260_1, Value:0, Discovered faults:{'260_1_s-a-1', '260_s-a-1'} 
Wire:260_2, Value:0, Discovered faults:{'260_2_s-a-1', '260_s-a-1'} 
Wire:263_1, Value:1, Discovered faults:{'263_s-a-0', '263_1_s-a-0'} 
Wire:263_2, Value:1, Discovered faults:{'263_2_s-a-0', '263_s-a-0'} 
Wire:263_3, Value:1, Discovered faults:{'263_s-a-0', '263_3_s-a-0'} 
Wire:267_1, Value:1, Discovered faults:{'267_1_s-a-0', '267_s-a-0'} 
Wire:267_2, Value:1, Discovered faults:{'267_s-a-0', '267_2_s-a-0'} 
Wire:267_3, Value:1, Discovered faults:{'267_s-a-0', '267_3_s-a-0'} 
Wire:271_1, Value:1, Discovered faults:{'271_1_s-a-0', '271_s-a-0'} 
Wire:271_2, Value:1, Discovered faults:{'271_2_s-a-0', '271_s-a-0'} 
Wire:274_1, Value:1, Discovered faults:{'274_s-a-0', '274_1_s-a-0'} 
Wire:274_2, Value:1, Discovered faults:{'274_s-a-0', '274_2_s-a-0'} 
Wire:277_1, Value:1, Discovered faults:{'277_s-a-0', '277_1_s-a-0'} 
Wire:277_2, Value:1, Discovered faults:{'277_2_s-a-0', '277_s-a-0'} 
Wire:280_1, Value:1, Discovered faults:{'280_1_s-a-0', '280_s-a-0'} 
Wire:280_2, Value:1, Discovered faults:{'280_2_s-a-0', '280_s-a-0'} 
Wire:283_1, Value:1, Discovered faults:{'283_s-a-0', '283_1_s-a-0'} 
Wire:283_2, Value:1, Discovered faults:{'283_s-a-0', '283_2_s-a-0'} 
Wire:286_1, Value:1, Discovered faults:{'286_s-a-0', '286_1_s-a-0'} 
Wire:286_2, Value:1, Discovered faults:{'286_s-a-0', '286_2_s-a-0'} 
Wire:289_1, Value:1, Discovered faults:{'289_s-a-0', '289_1_s-a-0'} 
Wire:289_2, Value:1, Discovered faults:{'289_s-a-0', '289_2_s-a-0'} 
Wire:289_3, Value:1, Discovered faults:{'289_s-a-0', '289_3_s-a-0'} 
Wire:293_1, Value:1, Discovered faults:{'293_1_s-a-0', '293_s-a-0'} 
Wire:293_2, Value:1, Discovered faults:{'293_s-a-0', '293_2_s-a-0'} 
Wire:296_1, Value:1, Discovered faults:{'296_1_s-a-0', '296_s-a-0'} 
Wire:296_2, Value:1, Discovered faults:{'296_2_s-a-0', '296_s-a-0'} 
Wire:299_1, Value:1, Discovered faults:{'299_s-a-0', '299_1_s-a-0'} 
Wire:299_2, Value:1, Discovered faults:{'299_s-a-0', '299_2_s-a-0'} 
Wire:299_3, Value:1, Discovered faults:{'299_s-a-0', '299_3_s-a-0'} 
Wire:303_1, Value:1, Discovered faults:{'303_1_s-a-0', '303_s-a-0'} 
Wire:303_2, Value:1, Discovered faults:{'303_s-a-0', '303_2_s-a-0'} 
Wire:303_3, Value:1, Discovered faults:{'303_3_s-a-0', '303_s-a-0'} 
Wire:307_1, Value:1, Discovered faults:{'307_s-a-0', '307_1_s-a-0'} 
Wire:307_2, Value:1, Discovered faults:{'307_2_s-a-0', '307_s-a-0'} 
Wire:310_1, Value:1, Discovered faults:{'310_1_s-a-0', '310_s-a-0'} 
Wire:310_2, Value:1, Discovered faults:{'310_2_s-a-0', '310_s-a-0'} 
Wire:313_1, Value:0, Discovered faults:{'313_s-a-1', '313_1_s-a-1'} 
Wire:313_2, Value:0, Discovered faults:{'313_2_s-a-1', '313_s-a-1'} 
Wire:316_1, Value:0, Discovered faults:{'316_1_s-a-1', '316_s-a-1'} 
Wire:316_2, Value:0, Discovered faults:{'316_2_s-a-1', '316_s-a-1'} 
Wire:319_1, Value:1, Discovered faults:{'319_1_s-a-0', '319_s-a-0'} 
Wire:319_2, Value:1, Discovered faults:{'319_2_s-a-0', '319_s-a-0'} 
Wire:322_1, Value:0, Discovered faults:{'322_s-a-1', '322_1_s-a-1'} 
Wire:322_2, Value:0, Discovered faults:{'322_s-a-1', '322_2_s-a-1'} 
Wire:325_1, Value:0, Discovered faults:{'325_s-a-1', '325_1_s-a-1'} 
Wire:325_2, Value:0, Discovered faults:{'325_2_s-a-1', '325_s-a-1'} 
Wire:328_1, Value:1, Discovered faults:{'328_s-a-0', '328_1_s-a-0'} 
Wire:328_2, Value:1, Discovered faults:{'328_s-a-0', '328_2_s-a-0'} 
Wire:331_1, Value:1, Discovered faults:{'331_s-a-0', '331_1_s-a-0'} 
Wire:331_2, Value:1, Discovered faults:{'331_s-a-0', '331_2_s-a-0'} 
Wire:334_1, Value:1, Discovered faults:{'334_s-a-0', '334_1_s-a-0'} 
Wire:334_2, Value:1, Discovered faults:{'334_s-a-0', '334_2_s-a-0'} 
Wire:337_1, Value:0, Discovered faults:{'337_1_s-a-1', '337_s-a-1'} 
Wire:337_2, Value:0, Discovered faults:{'337_2_s-a-1', '337_s-a-1'} 
Wire:340_1, Value:0, Discovered faults:{'340_1_s-a-1', '340_s-a-1'} 
Wire:340_2, Value:0, Discovered faults:{'340_s-a-1', '340_2_s-a-1'} 
Wire:343_1, Value:1, Discovered faults:{'343_s-a-0', '343_1_s-a-0'} 
Wire:343_2, Value:1, Discovered faults:{'343_s-a-0', '343_2_s-a-0'} 
Wire:346_1, Value:1, Discovered faults:{'346_1_s-a-0', '346_s-a-0'} 
Wire:346_2, Value:1, Discovered faults:{'346_2_s-a-0', '346_s-a-0'} 
Wire:349_1, Value:0, Discovered faults:{'349_s-a-1', '349_1_s-a-1'} 
Wire:349_2, Value:0, Discovered faults:{'349_s-a-1', '349_2_s-a-1'} 
Wire:352_1, Value:0, Discovered faults:{'352_s-a-1', '352_1_s-a-1'} 
Wire:352_2, Value:0, Discovered faults:{'352_s-a-1', '352_2_s-a-1'} 
Wire:355_1, Value:0, Discovered faults:{'355_s-a-1', '355_1_s-a-1'} 
Wire:355_2, Value:0, Discovered faults:{'355_2_s-a-1', '355_s-a-1'} 
Wire:358_1, Value:1, Discovered faults:{'358_1_s-a-0', '358_s-a-0'} 
Wire:358_2, Value:1, Discovered faults:{'358_s-a-0', '358_2_s-a-0'} 
Wire:361_1, Value:0, Discovered faults:{'361_1_s-a-1', '361_s-a-1'} 
Wire:361_2, Value:0, Discovered faults:{'361_2_s-a-1', '361_s-a-1'} 
Wire:364_1, Value:0, Discovered faults:{'364_s-a-1', '364_1_s-a-1'} 
Wire:364_2, Value:0, Discovered faults:{'364_s-a-1', '364_2_s-a-1'} 
Wire:367_1, Value:1, Discovered faults:{'367_s-a-0', '367_1_s-a-0'} 
Wire:367_2, Value:1, Discovered faults:{'367_2_s-a-0', '367_s-a-0'} 
Wire:367_3, Value:1, Discovered faults:{'367_s-a-0', '367_3_s-a-0'} 
Wire:367_4, Value:1, Discovered faults:{'367_4_s-a-0', '367_s-a-0'} 
Wire:367_5, Value:1, Discovered faults:{'367_s-a-0', '367_5_s-a-0'} 
