Wire:1, Value:0, Discovered faults:['1_s-a-1'] 
Wire:8, Value:0, Discovered faults:['8_s-a-1'] 
Wire:15, Value:1, Discovered faults:['15_s-a-0'] 
Wire:22, Value:0, Discovered faults:['22_s-a-1'] 
Wire:29, Value:0, Discovered faults:['29_s-a-1'] 
Wire:36, Value:1, Discovered faults:['36_s-a-0'] 
Wire:43, Value:1, Discovered faults:['43_s-a-0'] 
Wire:50, Value:0, Discovered faults:['50_s-a-1'] 
Wire:57, Value:1, Discovered faults:['57_s-a-0'] 
Wire:64, Value:1, Discovered faults:['64_s-a-0'] 
Wire:71, Value:1, Discovered faults:['71_s-a-0'] 
Wire:78, Value:1, Discovered faults:['78_s-a-0'] 
Wire:85, Value:0, Discovered faults:['85_s-a-1'] 
Wire:92, Value:0, Discovered faults:['92_s-a-1'] 
Wire:99, Value:0, Discovered faults:['99_s-a-1'] 
Wire:106, Value:0, Discovered faults:['106_s-a-1'] 
Wire:113, Value:1, Discovered faults:['113_s-a-0'] 
Wire:120, Value:0, Discovered faults:['120_s-a-1'] 
Wire:127, Value:0, Discovered faults:['127_s-a-1'] 
Wire:134, Value:0, Discovered faults:['134_s-a-1'] 
Wire:141, Value:0, Discovered faults:['141_s-a-1'] 
Wire:148, Value:0, Discovered faults:['148_s-a-1'] 
Wire:155, Value:0, Discovered faults:['155_s-a-1'] 
Wire:162, Value:0, Discovered faults:['162_s-a-1'] 
Wire:169, Value:0, Discovered faults:['169_s-a-1'] 
Wire:176, Value:1, Discovered faults:['176_s-a-0'] 
Wire:183, Value:0, Discovered faults:['183_s-a-1'] 
Wire:190, Value:1, Discovered faults:['190_s-a-0'] 
Wire:197, Value:0, Discovered faults:['197_s-a-1'] 
Wire:204, Value:0, Discovered faults:['204_s-a-1'] 
Wire:211, Value:0, Discovered faults:['211_s-a-1'] 
Wire:218, Value:1, Discovered faults:['218_s-a-0'] 
Wire:225, Value:1, Discovered faults:['225_s-a-0'] 
Wire:226, Value:1, Discovered faults:['226_s-a-0'] 
Wire:227, Value:1, Discovered faults:['227_s-a-0'] 
Wire:228, Value:1, Discovered faults:['228_s-a-0'] 
Wire:229, Value:0, Discovered faults:['229_s-a-1'] 
Wire:230, Value:0, Discovered faults:['230_s-a-1'] 
Wire:231, Value:1, Discovered faults:['231_s-a-0'] 
Wire:232, Value:1, Discovered faults:['232_s-a-0'] 
Wire:233, Value:0, Discovered faults:['233_s-a-1'] 
Wire:29_5, Value:0, Discovered faults:['29_5_s-a-1', '29_s-a-1'] 
Wire:29_6, Value:0, Discovered faults:['29_6_s-a-1', '29_s-a-1'] 
Wire:36_1, Value:1, Discovered faults:['36_1_s-a-0', '36_s-a-0'] 
Wire:36_2, Value:1, Discovered faults:['36_2_s-a-0', '36_s-a-0'] 
Wire:36_3, Value:1, Discovered faults:['36_3_s-a-0', '36_s-a-0'] 
Wire:36_4, Value:1, Discovered faults:['36_4_s-a-0', '36_s-a-0'] 
Wire:36_5, Value:1, Discovered faults:['36_5_s-a-0', '36_s-a-0'] 
Wire:36_6, Value:1, Discovered faults:['36_6_s-a-0', '36_s-a-0'] 
Wire:43_1, Value:1, Discovered faults:['43_1_s-a-0', '43_s-a-0'] 
Wire:43_2, Value:1, Discovered faults:['43_2_s-a-0', '43_s-a-0'] 
Wire:43_3, Value:1, Discovered faults:['43_3_s-a-0', '43_s-a-0'] 
Wire:43_4, Value:1, Discovered faults:['43_4_s-a-0', '43_s-a-0'] 
Wire:43_5, Value:1, Discovered faults:['43_5_s-a-0', '43_s-a-0'] 
Wire:43_6, Value:1, Discovered faults:['43_6_s-a-0', '43_s-a-0'] 
Wire:50_1, Value:0, Discovered faults:['50_1_s-a-1', '50_s-a-1'] 
Wire:50_2, Value:0, Discovered faults:['50_2_s-a-1', '50_s-a-1'] 
Wire:50_3, Value:0, Discovered faults:['50_3_s-a-1', '50_s-a-1'] 
Wire:50_4, Value:0, Discovered faults:['50_4_s-a-1', '50_s-a-1'] 
Wire:50_5, Value:0, Discovered faults:['50_5_s-a-1', '50_s-a-1'] 
Wire:50_6, Value:0, Discovered faults:['50_6_s-a-1', '50_s-a-1'] 
Wire:57_1, Value:1, Discovered faults:['57_1_s-a-0', '57_s-a-0'] 
Wire:57_2, Value:1, Discovered faults:['57_2_s-a-0', '57_s-a-0'] 
Wire:57_3, Value:1, Discovered faults:['57_3_s-a-0', '57_s-a-0'] 
Wire:57_4, Value:1, Discovered faults:['57_4_s-a-0', '57_s-a-0'] 
Wire:57_5, Value:1, Discovered faults:['57_5_s-a-0', '57_s-a-0'] 
Wire:57_6, Value:1, Discovered faults:['57_6_s-a-0', '57_s-a-0'] 
Wire:64_1, Value:1, Discovered faults:['64_1_s-a-0', '64_s-a-0'] 
Wire:64_2, Value:1, Discovered faults:['64_2_s-a-0', '64_s-a-0'] 
Wire:64_3, Value:1, Discovered faults:['64_3_s-a-0', '64_s-a-0'] 
Wire:64_4, Value:1, Discovered faults:['64_4_s-a-0', '64_s-a-0'] 
Wire:64_5, Value:1, Discovered faults:['64_5_s-a-0', '64_s-a-0'] 
Wire:64_6, Value:1, Discovered faults:['64_6_s-a-0', '64_s-a-0'] 
Wire:71_1, Value:1, Discovered faults:['71_1_s-a-0', '71_s-a-0'] 
Wire:71_2, Value:1, Discovered faults:['71_2_s-a-0', '71_s-a-0'] 
Wire:71_3, Value:1, Discovered faults:['71_3_s-a-0', '71_s-a-0'] 
Wire:71_4, Value:1, Discovered faults:['71_4_s-a-0', '71_s-a-0'] 
Wire:71_5, Value:1, Discovered faults:['71_5_s-a-0', '71_s-a-0'] 
Wire:71_6, Value:1, Discovered faults:['71_6_s-a-0', '71_s-a-0'] 
Wire:78_1, Value:1, Discovered faults:['78_1_s-a-0', '78_s-a-0'] 
Wire:78_2, Value:1, Discovered faults:['78_2_s-a-0', '78_s-a-0'] 
Wire:78_3, Value:1, Discovered faults:['78_3_s-a-0', '78_s-a-0'] 
Wire:78_4, Value:1, Discovered faults:['78_4_s-a-0', '78_s-a-0'] 
Wire:78_5, Value:1, Discovered faults:['78_5_s-a-0', '78_s-a-0'] 
Wire:78_6, Value:1, Discovered faults:['78_6_s-a-0', '78_s-a-0'] 
Wire:85_1, Value:0, Discovered faults:['85_1_s-a-1', '85_s-a-1'] 
Wire:85_2, Value:0, Discovered faults:['85_2_s-a-1', '85_s-a-1'] 
Wire:85_3, Value:0, Discovered faults:['85_3_s-a-1', '85_s-a-1'] 
Wire:85_4, Value:0, Discovered faults:['85_4_s-a-1', '85_s-a-1'] 
Wire:85_5, Value:0, Discovered faults:['85_5_s-a-1', '85_s-a-1'] 
Wire:85_6, Value:0, Discovered faults:['85_6_s-a-1', '85_s-a-1'] 
Wire:92_1, Value:0, Discovered faults:['92_1_s-a-1', '92_s-a-1'] 
Wire:92_2, Value:0, Discovered faults:['92_2_s-a-1', '92_s-a-1'] 
Wire:92_3, Value:0, Discovered faults:['92_3_s-a-1', '92_s-a-1'] 
Wire:92_4, Value:0, Discovered faults:['92_4_s-a-1', '92_s-a-1'] 
Wire:92_5, Value:0, Discovered faults:['92_5_s-a-1', '92_s-a-1'] 
Wire:92_6, Value:0, Discovered faults:['92_6_s-a-1', '92_s-a-1'] 
Wire:99_1, Value:0, Discovered faults:['99_1_s-a-1', '99_s-a-1'] 
Wire:99_2, Value:0, Discovered faults:['99_2_s-a-1', '99_s-a-1'] 
Wire:99_3, Value:0, Discovered faults:['99_3_s-a-1', '99_s-a-1'] 
Wire:99_4, Value:0, Discovered faults:['99_4_s-a-1', '99_s-a-1'] 
Wire:99_5, Value:0, Discovered faults:['99_5_s-a-1', '99_s-a-1'] 
Wire:99_6, Value:0, Discovered faults:['99_6_s-a-1', '99_s-a-1'] 
Wire:106_1, Value:0, Discovered faults:['106_1_s-a-1', '106_s-a-1'] 
Wire:106_2, Value:0, Discovered faults:['106_2_s-a-1', '106_s-a-1'] 
Wire:106_3, Value:0, Discovered faults:['106_3_s-a-1', '106_s-a-1'] 
Wire:106_4, Value:0, Discovered faults:['106_4_s-a-1', '106_s-a-1'] 
Wire:106_5, Value:0, Discovered faults:['106_5_s-a-1', '106_s-a-1'] 
Wire:106_6, Value:0, Discovered faults:['106_6_s-a-1', '106_s-a-1'] 
Wire:113_1, Value:1, Discovered faults:['113_1_s-a-0', '113_s-a-0'] 
Wire:113_2, Value:1, Discovered faults:['113_2_s-a-0', '113_s-a-0'] 
Wire:113_3, Value:1, Discovered faults:['113_3_s-a-0', '113_s-a-0'] 
Wire:113_4, Value:1, Discovered faults:['113_4_s-a-0', '113_s-a-0'] 
Wire:113_5, Value:1, Discovered faults:['113_5_s-a-0', '113_s-a-0'] 
Wire:113_6, Value:1, Discovered faults:['113_6_s-a-0', '113_s-a-0'] 
Wire:120_1, Value:0, Discovered faults:['120_1_s-a-1', '120_s-a-1'] 
Wire:120_2, Value:0, Discovered faults:['120_2_s-a-1', '120_s-a-1'] 
Wire:120_3, Value:0, Discovered faults:['120_3_s-a-1', '120_s-a-1'] 
Wire:120_4, Value:0, Discovered faults:['120_4_s-a-1', '120_s-a-1'] 
Wire:120_5, Value:0, Discovered faults:['120_5_s-a-1', '120_s-a-1'] 
Wire:120_6, Value:0, Discovered faults:['120_6_s-a-1', '120_s-a-1'] 
Wire:127_1, Value:0, Discovered faults:['127_1_s-a-1', '127_s-a-1'] 
Wire:127_2, Value:0, Discovered faults:['127_2_s-a-1', '127_s-a-1'] 
Wire:127_3, Value:0, Discovered faults:['127_3_s-a-1', '127_s-a-1'] 
Wire:127_4, Value:0, Discovered faults:['127_4_s-a-1', '127_s-a-1'] 
Wire:127_5, Value:0, Discovered faults:['127_5_s-a-1', '127_s-a-1'] 
Wire:127_6, Value:0, Discovered faults:['127_6_s-a-1', '127_s-a-1'] 
Wire:134_1, Value:0, Discovered faults:['134_1_s-a-1', '134_s-a-1'] 
Wire:134_2, Value:0, Discovered faults:['134_2_s-a-1', '134_s-a-1'] 
Wire:134_3, Value:0, Discovered faults:['134_3_s-a-1', '134_s-a-1'] 
Wire:134_4, Value:0, Discovered faults:['134_4_s-a-1', '134_s-a-1'] 
Wire:134_5, Value:0, Discovered faults:['134_5_s-a-1', '134_s-a-1'] 
Wire:134_6, Value:0, Discovered faults:['134_6_s-a-1', '134_s-a-1'] 
Wire:141_1, Value:0, Discovered faults:['141_1_s-a-1', '141_s-a-1'] 
Wire:141_2, Value:0, Discovered faults:['141_2_s-a-1', '141_s-a-1'] 
Wire:141_3, Value:0, Discovered faults:['141_3_s-a-1', '141_s-a-1'] 
Wire:141_4, Value:0, Discovered faults:['141_4_s-a-1', '141_s-a-1'] 
Wire:141_5, Value:0, Discovered faults:['141_5_s-a-1', '141_s-a-1'] 
Wire:141_6, Value:0, Discovered faults:['141_6_s-a-1', '141_s-a-1'] 
Wire:148_1, Value:0, Discovered faults:['148_1_s-a-1', '148_s-a-1'] 
Wire:148_2, Value:0, Discovered faults:['148_2_s-a-1', '148_s-a-1'] 
Wire:148_3, Value:0, Discovered faults:['148_3_s-a-1', '148_s-a-1'] 
Wire:148_4, Value:0, Discovered faults:['148_4_s-a-1', '148_s-a-1'] 
Wire:148_5, Value:0, Discovered faults:['148_5_s-a-1', '148_s-a-1'] 
Wire:148_6, Value:0, Discovered faults:['148_6_s-a-1', '148_s-a-1'] 
Wire:155_1, Value:0, Discovered faults:['155_1_s-a-1', '155_s-a-1'] 
Wire:155_2, Value:0, Discovered faults:['155_2_s-a-1', '155_s-a-1'] 
Wire:155_3, Value:0, Discovered faults:['155_3_s-a-1', '155_s-a-1'] 
Wire:155_4, Value:0, Discovered faults:['155_4_s-a-1', '155_s-a-1'] 
Wire:155_5, Value:0, Discovered faults:['155_5_s-a-1', '155_s-a-1'] 
Wire:155_6, Value:0, Discovered faults:['155_6_s-a-1', '155_s-a-1'] 
Wire:162_1, Value:0, Discovered faults:['162_1_s-a-1', '162_s-a-1'] 
Wire:162_2, Value:0, Discovered faults:['162_2_s-a-1', '162_s-a-1'] 
Wire:162_3, Value:0, Discovered faults:['162_3_s-a-1', '162_s-a-1'] 
Wire:162_4, Value:0, Discovered faults:['162_4_s-a-1', '162_s-a-1'] 
Wire:162_5, Value:0, Discovered faults:['162_5_s-a-1', '162_s-a-1'] 
Wire:162_6, Value:0, Discovered faults:['162_6_s-a-1', '162_s-a-1'] 
Wire:169_1, Value:0, Discovered faults:['169_1_s-a-1', '169_s-a-1'] 
Wire:169_2, Value:0, Discovered faults:['169_2_s-a-1', '169_s-a-1'] 
Wire:169_3, Value:0, Discovered faults:['169_3_s-a-1', '169_s-a-1'] 
Wire:169_4, Value:0, Discovered faults:['169_4_s-a-1', '169_s-a-1'] 
Wire:169_5, Value:0, Discovered faults:['169_5_s-a-1', '169_s-a-1'] 
Wire:169_6, Value:0, Discovered faults:['169_6_s-a-1', '169_s-a-1'] 
Wire:176_1, Value:1, Discovered faults:['176_1_s-a-0', '176_s-a-0'] 
Wire:176_2, Value:1, Discovered faults:['176_2_s-a-0', '176_s-a-0'] 
Wire:176_3, Value:1, Discovered faults:['176_3_s-a-0', '176_s-a-0'] 
Wire:176_4, Value:1, Discovered faults:['176_4_s-a-0', '176_s-a-0'] 
Wire:176_5, Value:1, Discovered faults:['176_5_s-a-0', '176_s-a-0'] 
Wire:176_6, Value:1, Discovered faults:['176_6_s-a-0', '176_s-a-0'] 
Wire:183_1, Value:0, Discovered faults:['183_1_s-a-1', '183_s-a-1'] 
Wire:183_2, Value:0, Discovered faults:['183_2_s-a-1', '183_s-a-1'] 
Wire:183_3, Value:0, Discovered faults:['183_3_s-a-1', '183_s-a-1'] 
Wire:183_4, Value:0, Discovered faults:['183_4_s-a-1', '183_s-a-1'] 
Wire:183_5, Value:0, Discovered faults:['183_5_s-a-1', '183_s-a-1'] 
Wire:183_6, Value:0, Discovered faults:['183_6_s-a-1', '183_s-a-1'] 
Wire:190_1, Value:1, Discovered faults:['190_1_s-a-0', '190_s-a-0'] 
Wire:190_2, Value:1, Discovered faults:['190_2_s-a-0', '190_s-a-0'] 
Wire:190_3, Value:1, Discovered faults:['190_3_s-a-0', '190_s-a-0'] 
Wire:190_4, Value:1, Discovered faults:['190_4_s-a-0', '190_s-a-0'] 
Wire:190_5, Value:1, Discovered faults:['190_5_s-a-0', '190_s-a-0'] 
Wire:190_6, Value:1, Discovered faults:['190_6_s-a-0', '190_s-a-0'] 
Wire:197_1, Value:0, Discovered faults:['197_1_s-a-1', '197_s-a-1'] 
Wire:197_2, Value:0, Discovered faults:['197_2_s-a-1', '197_s-a-1'] 
Wire:197_3, Value:0, Discovered faults:['197_3_s-a-1', '197_s-a-1'] 
Wire:197_4, Value:0, Discovered faults:['197_4_s-a-1', '197_s-a-1'] 
Wire:197_5, Value:0, Discovered faults:['197_5_s-a-1', '197_s-a-1'] 
Wire:197_6, Value:0, Discovered faults:['197_6_s-a-1', '197_s-a-1'] 
Wire:204_1, Value:0, Discovered faults:['204_1_s-a-1', '204_s-a-1'] 
Wire:204_2, Value:0, Discovered faults:['204_2_s-a-1', '204_s-a-1'] 
Wire:204_3, Value:0, Discovered faults:['204_3_s-a-1', '204_s-a-1'] 
Wire:204_4, Value:0, Discovered faults:['204_4_s-a-1', '204_s-a-1'] 
Wire:204_5, Value:0, Discovered faults:['204_5_s-a-1', '204_s-a-1'] 
Wire:204_6, Value:0, Discovered faults:['204_6_s-a-1', '204_s-a-1'] 
Wire:211_1, Value:0, Discovered faults:['211_1_s-a-1', '211_s-a-1'] 
Wire:211_2, Value:0, Discovered faults:['211_2_s-a-1', '211_s-a-1'] 
Wire:211_3, Value:0, Discovered faults:['211_3_s-a-1', '211_s-a-1'] 
Wire:211_4, Value:0, Discovered faults:['211_4_s-a-1', '211_s-a-1'] 
Wire:211_5, Value:0, Discovered faults:['211_5_s-a-1', '211_s-a-1'] 
Wire:211_6, Value:0, Discovered faults:['211_6_s-a-1', '211_s-a-1'] 
Wire:218_1, Value:1, Discovered faults:['218_1_s-a-0', '218_s-a-0'] 
Wire:218_2, Value:1, Discovered faults:['218_2_s-a-0', '218_s-a-0'] 
Wire:218_3, Value:1, Discovered faults:['218_3_s-a-0', '218_s-a-0'] 
Wire:218_4, Value:1, Discovered faults:['218_4_s-a-0', '218_s-a-0'] 
Wire:218_5, Value:1, Discovered faults:['218_5_s-a-0', '218_s-a-0'] 
Wire:218_6, Value:1, Discovered faults:['218_6_s-a-0', '218_s-a-0'] 
Wire:233_1, Value:0, Discovered faults:['233_1_s-a-1', '233_s-a-1'] 
Wire:233_2, Value:0, Discovered faults:['233_2_s-a-1', '233_s-a-1'] 
Wire:233_3, Value:0, Discovered faults:['233_3_s-a-1', '233_s-a-1'] 
Wire:233_4, Value:0, Discovered faults:['233_4_s-a-1', '233_s-a-1'] 
Wire:233_5, Value:0, Discovered faults:['233_5_s-a-1', '233_s-a-1'] 
Wire:233_6, Value:0, Discovered faults:['233_6_s-a-1', '233_s-a-1'] 
Wire:233_7, Value:0, Discovered faults:['233_7_s-a-1', '233_s-a-1'] 
Wire:233_8, Value:0, Discovered faults:['233_8_s-a-1', '233_s-a-1'] 
Wire:242, Value:0, Discovered faults:['233_1_s-a-1', '233_s-a-1', '242_s-a-1'] 
Wire:245, Value:0, Discovered faults:['233_2_s-a-1', '233_s-a-1', '245_s-a-1'] 
Wire:248, Value:0, Discovered faults:['233_3_s-a-1', '233_s-a-1', '248_s-a-1'] 
Wire:251, Value:0, Discovered faults:['233_4_s-a-1', '233_s-a-1', '251_s-a-1'] 
Wire:254, Value:0, Discovered faults:['254_s-a-1'] 
Wire:257, Value:0, Discovered faults:['257_s-a-1'] 
Wire:260, Value:0, Discovered faults:['233_7_s-a-1', '233_s-a-1', '260_s-a-1'] 
Wire:263, Value:0, Discovered faults:['233_8_s-a-1', '233_s-a-1', '263_s-a-1'] 
Wire:266, Value:1, Discovered faults:['266_s-a-0'] 
Wire:269, Value:1, Discovered faults:['22_1_s-a-1', '22_s-a-1', '269_s-a-0'] 
Wire:272, Value:1, Discovered faults:['272_s-a-0', '29_1_s-a-1', '29_s-a-1'] 
Wire:275, Value:1, Discovered faults:['275_s-a-0', '50_1_s-a-1', '50_s-a-1'] 
Wire:278, Value:0, Discovered faults:['278_s-a-1', '57_1_s-a-0', '57_s-a-0', '64_1_s-a-0', '64_s-a-0'] 
Wire:281, Value:0, Discovered faults:['281_s-a-1', '71_1_s-a-0', '71_s-a-0', '78_1_s-a-0', '78_s-a-0'] 
Wire:284, Value:1, Discovered faults:['284_s-a-0'] 
Wire:287, Value:1, Discovered faults:['287_s-a-0'] 
Wire:290, Value:1, Discovered faults:['120_1_s-a-1', '120_s-a-1', '290_s-a-0'] 
Wire:293, Value:1, Discovered faults:['293_s-a-0'] 
Wire:296, Value:1, Discovered faults:['296_s-a-0'] 
Wire:299, Value:1, Discovered faults:['299_s-a-0'] 
Wire:302, Value:1, Discovered faults:['169_1_s-a-1', '169_s-a-1', '302_s-a-0'] 
Wire:305, Value:1, Discovered faults:['183_1_s-a-1', '183_s-a-1', '305_s-a-0'] 
Wire:308, Value:1, Discovered faults:['308_s-a-0'] 
Wire:311, Value:1, Discovered faults:['211_1_s-a-1', '211_s-a-1', '311_s-a-0'] 
Wire:314, Value:1, Discovered faults:['314_s-a-0'] 
Wire:317, Value:1, Discovered faults:['317_s-a-0', '85_2_s-a-1', '85_s-a-1'] 
Wire:320, Value:1, Discovered faults:['320_s-a-0', '8_2_s-a-1', '8_s-a-1'] 
Wire:323, Value:1, Discovered faults:['323_s-a-0', '92_2_s-a-1', '92_s-a-1'] 
Wire:326, Value:0, Discovered faults:['15_2_s-a-0', '15_s-a-0', '326_s-a-1', '43_2_s-a-0', '43_s-a-0'] 
Wire:329, Value:1, Discovered faults:['329_s-a-0', '99_2_s-a-1', '99_s-a-1'] 
Wire:332, Value:1, Discovered faults:['332_s-a-0'] 
Wire:335, Value:1, Discovered faults:['106_2_s-a-1', '106_s-a-1', '335_s-a-0'] 
Wire:338, Value:1, Discovered faults:['141_2_s-a-1', '141_s-a-1', '338_s-a-0'] 
Wire:341, Value:1, Discovered faults:['341_s-a-0'] 
Wire:344, Value:1, Discovered faults:['344_s-a-0'] 
Wire:347, Value:1, Discovered faults:['204_2_s-a-1', '204_s-a-1', '347_s-a-0'] 
Wire:350, Value:1, Discovered faults:['350_s-a-0'] 
Wire:353, Value:1, Discovered faults:['353_s-a-0'] 
Wire:356, Value:1, Discovered faults:['356_s-a-0'] 
Wire:359, Value:0, Discovered faults:['190_2_s-a-0', '190_s-a-0', '218_2_s-a-0', '218_s-a-0', '359_s-a-1'] 
Wire:242_1, Value:0, Discovered faults:['233_1_s-a-1', '233_s-a-1', '242_1_s-a-1', '242_s-a-1'] 
Wire:242_2, Value:0, Discovered faults:['233_1_s-a-1', '233_s-a-1', '242_2_s-a-1', '242_s-a-1'] 
Wire:245_1, Value:0, Discovered faults:['233_2_s-a-1', '233_s-a-1', '245_1_s-a-1', '245_s-a-1'] 
Wire:245_2, Value:0, Discovered faults:['233_2_s-a-1', '233_s-a-1', '245_2_s-a-1', '245_s-a-1'] 
Wire:248_1, Value:0, Discovered faults:['233_3_s-a-1', '233_s-a-1', '248_1_s-a-1', '248_s-a-1'] 
Wire:248_2, Value:0, Discovered faults:['233_3_s-a-1', '233_s-a-1', '248_2_s-a-1', '248_s-a-1'] 
Wire:251_1, Value:0, Discovered faults:['233_4_s-a-1', '233_s-a-1', '251_1_s-a-1', '251_s-a-1'] 
Wire:251_2, Value:0, Discovered faults:['233_4_s-a-1', '233_s-a-1', '251_2_s-a-1', '251_s-a-1'] 
Wire:254_1, Value:0, Discovered faults:['254_1_s-a-1', '254_s-a-1'] 
Wire:254_2, Value:0, Discovered faults:['254_2_s-a-1', '254_s-a-1'] 
Wire:257_1, Value:0, Discovered faults:['257_1_s-a-1', '257_s-a-1'] 
Wire:257_2, Value:0, Discovered faults:['257_2_s-a-1', '257_s-a-1'] 
Wire:260_1, Value:0, Discovered faults:['233_7_s-a-1', '233_s-a-1', '260_1_s-a-1', '260_s-a-1'] 
Wire:260_2, Value:0, Discovered faults:['233_7_s-a-1', '233_s-a-1', '260_2_s-a-1', '260_s-a-1'] 
Wire:263_1, Value:0, Discovered faults:['233_8_s-a-1', '233_s-a-1', '263_1_s-a-1', '263_s-a-1'] 
Wire:263_2, Value:0, Discovered faults:['233_8_s-a-1', '233_s-a-1', '263_2_s-a-1', '263_s-a-1'] 
Wire:266_1, Value:1, Discovered faults:['266_1_s-a-0', '266_s-a-0'] 
Wire:266_2, Value:1, Discovered faults:['266_2_s-a-0', '266_s-a-0'] 
Wire:269_1, Value:1, Discovered faults:['22_1_s-a-1', '22_s-a-1', '269_1_s-a-0', '269_s-a-0'] 
Wire:269_2, Value:1, Discovered faults:['22_1_s-a-1', '22_s-a-1', '269_2_s-a-0', '269_s-a-0'] 
