Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:8, Value:0, Discovered faults:{'8_s-a-1'} 
Wire:13, Value:1, Discovered faults:{'13_s-a-0'} 
Wire:17, Value:1, Discovered faults:{'17_s-a-0'} 
Wire:26, Value:0, Discovered faults:{'26_s-a-1'} 
Wire:29, Value:0, Discovered faults:{'29_s-a-1'} 
Wire:36, Value:1, Discovered faults:{'36_s-a-0'} 
Wire:42, Value:1, Discovered faults:{'42_s-a-0'} 
Wire:51, Value:0, Discovered faults:{'51_s-a-1'} 
Wire:55, Value:1, Discovered faults:{'55_s-a-0'} 
Wire:59, Value:1, Discovered faults:{'59_s-a-0'} 
Wire:68, Value:1, Discovered faults:{'68_s-a-0'} 
Wire:72, Value:1, Discovered faults:{'72_s-a-0'} 
Wire:73, Value:1, Discovered faults:{'73_s-a-0'} 
Wire:74, Value:0, Discovered faults:{'74_s-a-1'} 
Wire:75, Value:1, Discovered faults:{'75_s-a-0'} 
Wire:80, Value:1, Discovered faults:{'80_s-a-0'} 
Wire:85, Value:0, Discovered faults:{'85_s-a-1'} 
Wire:86, Value:1, Discovered faults:{'86_s-a-0'} 
Wire:87, Value:0, Discovered faults:{'87_s-a-1'} 
Wire:88, Value:0, Discovered faults:{'88_s-a-1'} 
Wire:89, Value:0, Discovered faults:{'89_s-a-1'} 
Wire:90, Value:1, Discovered faults:{'90_s-a-0'} 
Wire:91, Value:1, Discovered faults:{'91_s-a-0'} 
Wire:96, Value:0, Discovered faults:{'96_s-a-1'} 
Wire:101, Value:0, Discovered faults:{'101_s-a-1'} 
Wire:106, Value:1, Discovered faults:{'106_s-a-0'} 
Wire:111, Value:0, Discovered faults:{'111_s-a-1'} 
Wire:116, Value:0, Discovered faults:{'116_s-a-1'} 
Wire:121, Value:1, Discovered faults:{'121_s-a-0'} 
Wire:126, Value:0, Discovered faults:{'126_s-a-1'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:135, Value:1, Discovered faults:{'135_s-a-0'} 
Wire:138, Value:0, Discovered faults:{'138_s-a-1'} 
Wire:143, Value:1, Discovered faults:{'143_s-a-0'} 
Wire:146, Value:1, Discovered faults:{'146_s-a-0'} 
Wire:149, Value:1, Discovered faults:{'149_s-a-0'} 
Wire:152, Value:1, Discovered faults:{'152_s-a-0'} 
Wire:153, Value:1, Discovered faults:{'153_s-a-0'} 
Wire:156, Value:0, Discovered faults:{'156_s-a-1'} 
Wire:159, Value:1, Discovered faults:{'159_s-a-0'} 
Wire:165, Value:1, Discovered faults:{'165_s-a-0'} 
Wire:171, Value:0, Discovered faults:{'171_s-a-1'} 
Wire:177, Value:0, Discovered faults:{'177_s-a-1'} 
Wire:183, Value:0, Discovered faults:{'183_s-a-1'} 
Wire:189, Value:1, Discovered faults:{'189_s-a-0'} 
Wire:195, Value:0, Discovered faults:{'195_s-a-1'} 
Wire:201, Value:0, Discovered faults:{'201_s-a-1'} 
Wire:207, Value:0, Discovered faults:{'207_s-a-1'} 
Wire:210, Value:0, Discovered faults:{'210_s-a-1'} 
Wire:219, Value:1, Discovered faults:{'219_s-a-0'} 
Wire:228, Value:0, Discovered faults:{'228_s-a-1'} 
Wire:237, Value:0, Discovered faults:{'237_s-a-1'} 
Wire:246, Value:0, Discovered faults:{'246_s-a-1'} 
Wire:255, Value:1, Discovered faults:{'255_s-a-0'} 
Wire:259, Value:0, Discovered faults:{'259_s-a-1'} 
Wire:260, Value:1, Discovered faults:{'260_s-a-0'} 
Wire:261, Value:0, Discovered faults:{'261_s-a-1'} 
Wire:267, Value:1, Discovered faults:{'267_s-a-0'} 
Wire:268, Value:1, Discovered faults:{'268_s-a-0'} 
Wire:42_6, Value:1, Discovered faults:{'42_6_s-a-0', '42_s-a-0'} 
Wire:42_7, Value:1, Discovered faults:{'42_s-a-0', '42_7_s-a-0'} 
Wire:42_8, Value:1, Discovered faults:{'42_8_s-a-0', '42_s-a-0'} 
Wire:51_1, Value:0, Discovered faults:{'51_1_s-a-1', '51_s-a-1'} 
Wire:51_2, Value:0, Discovered faults:{'51_2_s-a-1', '51_s-a-1'} 
Wire:51_3, Value:0, Discovered faults:{'51_s-a-1', '51_3_s-a-1'} 
Wire:55_1, Value:1, Discovered faults:{'55_s-a-0', '55_1_s-a-0'} 
Wire:55_2, Value:1, Discovered faults:{'55_2_s-a-0', '55_s-a-0'} 
Wire:55_3, Value:1, Discovered faults:{'55_3_s-a-0', '55_s-a-0'} 
Wire:59_1, Value:1, Discovered faults:{'59_1_s-a-0', '59_s-a-0'} 
Wire:59_2, Value:1, Discovered faults:{'59_2_s-a-0', '59_s-a-0'} 
Wire:59_3, Value:1, Discovered faults:{'59_3_s-a-0', '59_s-a-0'} 
Wire:59_4, Value:1, Discovered faults:{'59_4_s-a-0', '59_s-a-0'} 
Wire:59_5, Value:1, Discovered faults:{'59_5_s-a-0', '59_s-a-0'} 
Wire:59_6, Value:1, Discovered faults:{'59_6_s-a-0', '59_s-a-0'} 
Wire:59_7, Value:1, Discovered faults:{'59_7_s-a-0', '59_s-a-0'} 
Wire:59_8, Value:1, Discovered faults:{'59_8_s-a-0', '59_s-a-0'} 
Wire:68_1, Value:1, Discovered faults:{'68_1_s-a-0', '68_s-a-0'} 
Wire:68_2, Value:1, Discovered faults:{'68_2_s-a-0', '68_s-a-0'} 
Wire:68_3, Value:1, Discovered faults:{'68_s-a-0', '68_3_s-a-0'} 
Wire:75_1, Value:1, Discovered faults:{'75_s-a-0', '75_1_s-a-0'} 
Wire:75_2, Value:1, Discovered faults:{'75_s-a-0', '75_2_s-a-0'} 
Wire:75_3, Value:1, Discovered faults:{'75_s-a-0', '75_3_s-a-0'} 
Wire:75_4, Value:1, Discovered faults:{'75_s-a-0', '75_4_s-a-0'} 
Wire:80_1, Value:1, Discovered faults:{'80_s-a-0', '80_1_s-a-0'} 
Wire:80_2, Value:1, Discovered faults:{'80_s-a-0', '80_2_s-a-0'} 
Wire:80_3, Value:1, Discovered faults:{'80_s-a-0', '80_3_s-a-0'} 
Wire:80_4, Value:1, Discovered faults:{'80_s-a-0', '80_4_s-a-0'} 
Wire:91_1, Value:1, Discovered faults:{'91_1_s-a-0', '91_s-a-0'} 
Wire:91_2, Value:1, Discovered faults:{'91_2_s-a-0', '91_s-a-0'} 
Wire:91_3, Value:1, Discovered faults:{'91_3_s-a-0', '91_s-a-0'} 
Wire:91_4, Value:1, Discovered faults:{'91_4_s-a-0', '91_s-a-0'} 
Wire:96_1, Value:0, Discovered faults:{'96_s-a-1', '96_1_s-a-1'} 
Wire:96_2, Value:0, Discovered faults:{'96_s-a-1', '96_2_s-a-1'} 
Wire:96_3, Value:0, Discovered faults:{'96_3_s-a-1', '96_s-a-1'} 
Wire:96_4, Value:0, Discovered faults:{'96_s-a-1', '96_4_s-a-1'} 
Wire:101_1, Value:0, Discovered faults:{'101_1_s-a-1', '101_s-a-1'} 
Wire:101_2, Value:0, Discovered faults:{'101_2_s-a-1', '101_s-a-1'} 
Wire:101_3, Value:0, Discovered faults:{'101_3_s-a-1', '101_s-a-1'} 
Wire:101_4, Value:0, Discovered faults:{'101_4_s-a-1', '101_s-a-1'} 
Wire:106_1, Value:1, Discovered faults:{'106_1_s-a-0', '106_s-a-0'} 
Wire:106_2, Value:1, Discovered faults:{'106_s-a-0', '106_2_s-a-0'} 
Wire:106_3, Value:1, Discovered faults:{'106_s-a-0', '106_3_s-a-0'} 
Wire:106_4, Value:1, Discovered faults:{'106_4_s-a-0', '106_s-a-0'} 
Wire:111_1, Value:0, Discovered faults:{'111_s-a-1', '111_1_s-a-1'} 
Wire:111_2, Value:0, Discovered faults:{'111_s-a-1', '111_2_s-a-1'} 
Wire:111_3, Value:0, Discovered faults:{'111_3_s-a-1', '111_s-a-1'} 
Wire:111_4, Value:0, Discovered faults:{'111_s-a-1', '111_4_s-a-1'} 
Wire:116_1, Value:0, Discovered faults:{'116_1_s-a-1', '116_s-a-1'} 
Wire:116_2, Value:0, Discovered faults:{'116_2_s-a-1', '116_s-a-1'} 
Wire:116_3, Value:0, Discovered faults:{'116_s-a-1', '116_3_s-a-1'} 
Wire:116_4, Value:0, Discovered faults:{'116_s-a-1', '116_4_s-a-1'} 
Wire:121_1, Value:1, Discovered faults:{'121_s-a-0', '121_1_s-a-0'} 
Wire:121_2, Value:1, Discovered faults:{'121_s-a-0', '121_2_s-a-0'} 
Wire:121_3, Value:1, Discovered faults:{'121_s-a-0', '121_3_s-a-0'} 
Wire:121_4, Value:1, Discovered faults:{'121_s-a-0', '121_4_s-a-0'} 
Wire:126_1, Value:0, Discovered faults:{'126_s-a-1', '126_1_s-a-1'} 
Wire:126_2, Value:0, Discovered faults:{'126_s-a-1', '126_2_s-a-1'} 
Wire:126_3, Value:0, Discovered faults:{'126_s-a-1', '126_3_s-a-1'} 
Wire:130_1, Value:1, Discovered faults:{'130_s-a-0', '130_1_s-a-0'} 
Wire:130_2, Value:1, Discovered faults:{'130_s-a-0', '130_2_s-a-0'} 
Wire:130_3, Value:1, Discovered faults:{'130_s-a-0', '130_3_s-a-0'} 
Wire:130_4, Value:1, Discovered faults:{'130_s-a-0', '130_4_s-a-0'} 
Wire:135_1, Value:1, Discovered faults:{'135_1_s-a-0', '135_s-a-0'} 
Wire:135_2, Value:1, Discovered faults:{'135_2_s-a-0', '135_s-a-0'} 
Wire:138_1, Value:0, Discovered faults:{'138_1_s-a-1', '138_s-a-1'} 
Wire:138_2, Value:0, Discovered faults:{'138_2_s-a-1', '138_s-a-1'} 
Wire:138_3, Value:0, Discovered faults:{'138_3_s-a-1', '138_s-a-1'} 
Wire:138_4, Value:0, Discovered faults:{'138_4_s-a-1', '138_s-a-1'} 
Wire:143_1, Value:1, Discovered faults:{'143_s-a-0', '143_1_s-a-0'} 
Wire:143_2, Value:1, Discovered faults:{'143_s-a-0', '143_2_s-a-0'} 
Wire:146_1, Value:1, Discovered faults:{'146_1_s-a-0', '146_s-a-0'} 
Wire:146_2, Value:1, Discovered faults:{'146_2_s-a-0', '146_s-a-0'} 
Wire:149_1, Value:1, Discovered faults:{'149_s-a-0', '149_1_s-a-0'} 
Wire:149_2, Value:1, Discovered faults:{'149_s-a-0', '149_2_s-a-0'} 
Wire:153_1, Value:1, Discovered faults:{'153_1_s-a-0', '153_s-a-0'} 
Wire:153_2, Value:1, Discovered faults:{'153_2_s-a-0', '153_s-a-0'} 
Wire:156_1, Value:0, Discovered faults:{'156_s-a-1', '156_1_s-a-1'} 
Wire:156_2, Value:0, Discovered faults:{'156_s-a-1', '156_2_s-a-1'} 
Wire:159_1, Value:1, Discovered faults:{'159_s-a-0', '159_1_s-a-0'} 
Wire:159_2, Value:1, Discovered faults:{'159_s-a-0', '159_2_s-a-0'} 
Wire:159_3, Value:1, Discovered faults:{'159_s-a-0', '159_3_s-a-0'} 
Wire:159_4, Value:1, Discovered faults:{'159_s-a-0', '159_4_s-a-0'} 
Wire:159_5, Value:1, Discovered faults:{'159_s-a-0', '159_5_s-a-0'} 
Wire:165_1, Value:1, Discovered faults:{'165_1_s-a-0', '165_s-a-0'} 
Wire:165_2, Value:1, Discovered faults:{'165_s-a-0', '165_2_s-a-0'} 
Wire:165_3, Value:1, Discovered faults:{'165_3_s-a-0', '165_s-a-0'} 
Wire:165_4, Value:1, Discovered faults:{'165_4_s-a-0', '165_s-a-0'} 
Wire:165_5, Value:1, Discovered faults:{'165_s-a-0', '165_5_s-a-0'} 
Wire:171_1, Value:0, Discovered faults:{'171_1_s-a-1', '171_s-a-1'} 
Wire:171_2, Value:0, Discovered faults:{'171_s-a-1', '171_2_s-a-1'} 
Wire:171_3, Value:0, Discovered faults:{'171_3_s-a-1', '171_s-a-1'} 
Wire:171_4, Value:0, Discovered faults:{'171_s-a-1', '171_4_s-a-1'} 
Wire:171_5, Value:0, Discovered faults:{'171_s-a-1', '171_5_s-a-1'} 
Wire:177_1, Value:0, Discovered faults:{'177_1_s-a-1', '177_s-a-1'} 
Wire:177_2, Value:0, Discovered faults:{'177_2_s-a-1', '177_s-a-1'} 
Wire:177_3, Value:0, Discovered faults:{'177_3_s-a-1', '177_s-a-1'} 
Wire:177_4, Value:0, Discovered faults:{'177_4_s-a-1', '177_s-a-1'} 
Wire:177_5, Value:0, Discovered faults:{'177_5_s-a-1', '177_s-a-1'} 
Wire:183_1, Value:0, Discovered faults:{'183_1_s-a-1', '183_s-a-1'} 
Wire:183_2, Value:0, Discovered faults:{'183_2_s-a-1', '183_s-a-1'} 
Wire:183_3, Value:0, Discovered faults:{'183_s-a-1', '183_3_s-a-1'} 
Wire:183_4, Value:0, Discovered faults:{'183_s-a-1', '183_4_s-a-1'} 
Wire:183_5, Value:0, Discovered faults:{'183_5_s-a-1', '183_s-a-1'} 
Wire:189_1, Value:1, Discovered faults:{'189_1_s-a-0', '189_s-a-0'} 
Wire:189_2, Value:1, Discovered faults:{'189_2_s-a-0', '189_s-a-0'} 
Wire:189_3, Value:1, Discovered faults:{'189_3_s-a-0', '189_s-a-0'} 
Wire:189_4, Value:1, Discovered faults:{'189_4_s-a-0', '189_s-a-0'} 
Wire:189_5, Value:1, Discovered faults:{'189_5_s-a-0', '189_s-a-0'} 
Wire:195_1, Value:0, Discovered faults:{'195_s-a-1', '195_1_s-a-1'} 
Wire:195_2, Value:0, Discovered faults:{'195_2_s-a-1', '195_s-a-1'} 
Wire:195_3, Value:0, Discovered faults:{'195_s-a-1', '195_3_s-a-1'} 
Wire:195_4, Value:0, Discovered faults:{'195_s-a-1', '195_4_s-a-1'} 
Wire:195_5, Value:0, Discovered faults:{'195_5_s-a-1', '195_s-a-1'} 
Wire:201_1, Value:0, Discovered faults:{'201_s-a-1', '201_1_s-a-1'} 
Wire:201_2, Value:0, Discovered faults:{'201_s-a-1', '201_2_s-a-1'} 
Wire:201_3, Value:0, Discovered faults:{'201_3_s-a-1', '201_s-a-1'} 
Wire:201_4, Value:0, Discovered faults:{'201_4_s-a-1', '201_s-a-1'} 
Wire:201_5, Value:0, Discovered faults:{'201_s-a-1', '201_5_s-a-1'} 
Wire:207_1, Value:0, Discovered faults:{'207_s-a-1', '207_1_s-a-1'} 
Wire:207_2, Value:0, Discovered faults:{'207_s-a-1', '207_2_s-a-1'} 
Wire:210_1, Value:0, Discovered faults:{'210_s-a-1', '210_1_s-a-1'} 
Wire:210_2, Value:0, Discovered faults:{'210_s-a-1', '210_2_s-a-1'} 
Wire:210_3, Value:0, Discovered faults:{'210_s-a-1', '210_3_s-a-1'} 
Wire:210_4, Value:0, Discovered faults:{'210_4_s-a-1', '210_s-a-1'} 
Wire:210_5, Value:0, Discovered faults:{'210_s-a-1', '210_5_s-a-1'} 
Wire:210_6, Value:0, Discovered faults:{'210_s-a-1', '210_6_s-a-1'} 
Wire:210_7, Value:0, Discovered faults:{'210_7_s-a-1', '210_s-a-1'} 
Wire:210_8, Value:0, Discovered faults:{'210_8_s-a-1', '210_s-a-1'} 
Wire:219_1, Value:1, Discovered faults:{'219_1_s-a-0', '219_s-a-0'} 
Wire:219_2, Value:1, Discovered faults:{'219_2_s-a-0', '219_s-a-0'} 
Wire:219_3, Value:1, Discovered faults:{'219_s-a-0', '219_3_s-a-0'} 
Wire:219_4, Value:1, Discovered faults:{'219_4_s-a-0', '219_s-a-0'} 
Wire:219_5, Value:1, Discovered faults:{'219_s-a-0', '219_5_s-a-0'} 
Wire:219_6, Value:1, Discovered faults:{'219_s-a-0', '219_6_s-a-0'} 
Wire:219_7, Value:1, Discovered faults:{'219_s-a-0', '219_7_s-a-0'} 
Wire:219_8, Value:1, Discovered faults:{'219_s-a-0', '219_8_s-a-0'} 
Wire:228_1, Value:0, Discovered faults:{'228_1_s-a-1', '228_s-a-1'} 
Wire:228_2, Value:0, Discovered faults:{'228_2_s-a-1', '228_s-a-1'} 
Wire:228_3, Value:0, Discovered faults:{'228_3_s-a-1', '228_s-a-1'} 
Wire:228_4, Value:0, Discovered faults:{'228_4_s-a-1', '228_s-a-1'} 
Wire:228_5, Value:0, Discovered faults:{'228_5_s-a-1', '228_s-a-1'} 
Wire:228_6, Value:0, Discovered faults:{'228_s-a-1', '228_6_s-a-1'} 
Wire:228_7, Value:0, Discovered faults:{'228_s-a-1', '228_7_s-a-1'} 
Wire:228_8, Value:0, Discovered faults:{'228_s-a-1', '228_8_s-a-1'} 
Wire:237_1, Value:0, Discovered faults:{'237_s-a-1', '237_1_s-a-1'} 
Wire:237_2, Value:0, Discovered faults:{'237_2_s-a-1', '237_s-a-1'} 
Wire:237_3, Value:0, Discovered faults:{'237_s-a-1', '237_3_s-a-1'} 
Wire:237_4, Value:0, Discovered faults:{'237_s-a-1', '237_4_s-a-1'} 
Wire:237_5, Value:0, Discovered faults:{'237_s-a-1', '237_5_s-a-1'} 
Wire:237_6, Value:0, Discovered faults:{'237_s-a-1', '237_6_s-a-1'} 
Wire:237_7, Value:0, Discovered faults:{'237_7_s-a-1', '237_s-a-1'} 
Wire:237_8, Value:0, Discovered faults:{'237_s-a-1', '237_8_s-a-1'} 
Wire:246_1, Value:0, Discovered faults:{'246_1_s-a-1', '246_s-a-1'} 
Wire:246_2, Value:0, Discovered faults:{'246_2_s-a-1', '246_s-a-1'} 
Wire:246_3, Value:0, Discovered faults:{'246_3_s-a-1', '246_s-a-1'} 
Wire:246_4, Value:0, Discovered faults:{'246_4_s-a-1', '246_s-a-1'} 
Wire:246_5, Value:0, Discovered faults:{'246_5_s-a-1', '246_s-a-1'} 
Wire:246_6, Value:0, Discovered faults:{'246_6_s-a-1', '246_s-a-1'} 
Wire:246_7, Value:0, Discovered faults:{'246_7_s-a-1', '246_s-a-1'} 
Wire:246_8, Value:0, Discovered faults:{'246_8_s-a-1', '246_s-a-1'} 
Wire:255_1, Value:1, Discovered faults:{'255_1_s-a-0', '255_s-a-0'} 
Wire:255_2, Value:1, Discovered faults:{'255_2_s-a-0', '255_s-a-0'} 
Wire:255_3, Value:1, Discovered faults:{'255_3_s-a-0', '255_s-a-0'} 
Wire:261_1, Value:0, Discovered faults:{'261_s-a-1', '261_1_s-a-1'} 
Wire:261_2, Value:0, Discovered faults:{'261_s-a-1', '261_2_s-a-1'} 
Wire:261_3, Value:0, Discovered faults:{'261_s-a-1', '261_3_s-a-1'} 
Wire:261_4, Value:0, Discovered faults:{'261_4_s-a-1', '261_s-a-1'} 
Wire:261_5, Value:0, Discovered faults:{'261_5_s-a-1', '261_s-a-1'} 
Wire:269, Value:1, Discovered faults:{'269_s-a-0'} 
Wire:270, Value:1, Discovered faults:{'270_s-a-0'} 
Wire:273, Value:0, Discovered faults:{'29_s-a-1', '273_s-a-1', '29_1_s-a-1'} 
Wire:276, Value:0, Discovered faults:{'51_1_s-a-1', '51_s-a-1', '276_s-a-1'} 
Wire:279, Value:1, Discovered faults:{'51_2_s-a-1', '51_s-a-1', '279_s-a-0'} 
Wire:280, Value:1, Discovered faults:{'280_s-a-0'} 
Wire:284, Value:0, Discovered faults:{'72_s-a-0', '68_s-a-0', '59_1_s-a-0', '284_s-a-1', '68_1_s-a-0', '42_s-a-0', '42_2_s-a-0', '59_s-a-0'} 
Wire:285, Value:1, Discovered faults:{'29_s-a-1', '29_2_s-a-1', '285_s-a-0'} 
Wire:286, Value:1, Discovered faults:{'74_s-a-1', '286_s-a-0'} 
Wire:287, Value:0, Discovered faults:{'29_s-a-1', '29_3_s-a-1', '287_s-a-1'} 
Wire:290, Value:0, Discovered faults:{'290_s-a-1', '29_s-a-1', '29_4_s-a-1'} 
Wire:291, Value:0, Discovered faults:{'29_5_s-a-1', '291_s-a-1', '29_s-a-1'} 
Wire:292, Value:0, Discovered faults:{'292_s-a-1', '29_s-a-1', '29_6_s-a-1'} 
Wire:293, Value:1, Discovered faults:{'80_s-a-0', '75_s-a-0', '293_s-a-0', '80_3_s-a-0', '75_3_s-a-0', '59_3_s-a-0', '59_s-a-0'} 
Wire:294, Value:1, Discovered faults:{'75_s-a-0', '294_s-a-0', '75_4_s-a-0', '42_s-a-0', '59_4_s-a-0', '42_5_s-a-0', '59_s-a-0'} 
Wire:295, Value:1, Discovered faults:{'80_s-a-0', '80_4_s-a-0', '59_5_s-a-0', '295_s-a-0', '36_4_s-a-0', '36_s-a-0', '59_s-a-0'} 
