Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:245, Value:1, Discovered faults:{'245_s-a-0'} 
Wire:248, Value:0, Discovered faults:{'248_s-a-1'} 
Wire:251, Value:1, Discovered faults:{'251_s-a-0'} 
Wire:254, Value:1, Discovered faults:{'254_s-a-0'} 
Wire:257, Value:1, Discovered faults:{'257_s-a-0'} 
Wire:264, Value:0, Discovered faults:{'264_s-a-1'} 
Wire:265, Value:0, Discovered faults:{'265_s-a-1'} 
Wire:272, Value:0, Discovered faults:{'272_s-a-1'} 
Wire:273, Value:1, Discovered faults:{'273_s-a-0'} 
Wire:280, Value:0, Discovered faults:{'280_s-a-1'} 
Wire:281, Value:0, Discovered faults:{'281_s-a-1'} 
Wire:288, Value:0, Discovered faults:{'288_s-a-1'} 
Wire:289, Value:0, Discovered faults:{'289_s-a-1'} 
Wire:292, Value:0, Discovered faults:{'292_s-a-1'} 
Wire:293, Value:1, Discovered faults:{'293_s-a-0'} 
Wire:299, Value:0, Discovered faults:{'299_s-a-1'} 
Wire:302, Value:0, Discovered faults:{'302_s-a-1'} 
Wire:307, Value:1, Discovered faults:{'307_s-a-0'} 
Wire:308, Value:0, Discovered faults:{'308_s-a-1'} 
Wire:315, Value:1, Discovered faults:{'315_s-a-0'} 
Wire:316, Value:1, Discovered faults:{'316_s-a-0'} 
Wire:323, Value:1, Discovered faults:{'323_s-a-0'} 
Wire:324, Value:0, Discovered faults:{'324_s-a-1'} 
Wire:331, Value:1, Discovered faults:{'331_s-a-0'} 
Wire:332, Value:1, Discovered faults:{'332_s-a-0'} 
Wire:335, Value:0, Discovered faults:{'335_s-a-1'} 
Wire:338, Value:1, Discovered faults:{'338_s-a-0'} 
Wire:341, Value:1, Discovered faults:{'341_s-a-0'} 
Wire:348, Value:1, Discovered faults:{'348_s-a-0'} 
Wire:351, Value:0, Discovered faults:{'351_s-a-1'} 
Wire:358, Value:0, Discovered faults:{'358_s-a-1'} 
Wire:361, Value:1, Discovered faults:{'361_s-a-0'} 
Wire:366, Value:0, Discovered faults:{'366_s-a-1'} 
Wire:369, Value:0, Discovered faults:{'369_s-a-1'} 
Wire:372, Value:0, Discovered faults:{'372_s-a-1'} 
Wire:373, Value:1, Discovered faults:{'373_s-a-0'} 
Wire:374, Value:0, Discovered faults:{'374_s-a-1'} 
Wire:386, Value:1, Discovered faults:{'386_s-a-0'} 
Wire:389, Value:0, Discovered faults:{'389_s-a-1'} 
Wire:400, Value:0, Discovered faults:{'400_s-a-1'} 
Wire:411, Value:1, Discovered faults:{'411_s-a-0'} 
Wire:422, Value:0, Discovered faults:{'422_s-a-1'} 
Wire:435, Value:0, Discovered faults:{'435_s-a-1'} 
Wire:446, Value:1, Discovered faults:{'446_s-a-0'} 
Wire:457, Value:1, Discovered faults:{'457_s-a-0'} 
Wire:468, Value:1, Discovered faults:{'468_s-a-0'} 
Wire:479, Value:0, Discovered faults:{'479_s-a-1'} 
Wire:490, Value:0, Discovered faults:{'490_s-a-1'} 
Wire:503, Value:0, Discovered faults:{'503_s-a-1'} 
Wire:514, Value:0, Discovered faults:{'514_s-a-1'} 
Wire:523, Value:1, Discovered faults:{'523_s-a-0'} 
Wire:534, Value:0, Discovered faults:{'534_s-a-1'} 
Wire:545, Value:1, Discovered faults:{'545_s-a-0'} 
Wire:549, Value:1, Discovered faults:{'549_s-a-0'} 
Wire:552, Value:0, Discovered faults:{'552_s-a-1'} 
Wire:556, Value:1, Discovered faults:{'556_s-a-0'} 
Wire:559, Value:0, Discovered faults:{'559_s-a-1'} 
Wire:562, Value:1, Discovered faults:{'562_s-a-0'} 
Wire:566, Value:0, Discovered faults:{'566_s-a-1'} 
Wire:571, Value:0, Discovered faults:{'571_s-a-1'} 
Wire:574, Value:1, Discovered faults:{'574_s-a-0'} 
Wire:577, Value:0, Discovered faults:{'577_s-a-1'} 
Wire:580, Value:0, Discovered faults:{'580_s-a-1'} 
Wire:583, Value:0, Discovered faults:{'583_s-a-1'} 
Wire:588, Value:1, Discovered faults:{'588_s-a-0'} 
Wire:591, Value:1, Discovered faults:{'591_s-a-0'} 
Wire:592, Value:0, Discovered faults:{'592_s-a-1'} 
Wire:595, Value:0, Discovered faults:{'595_s-a-1'} 
Wire:596, Value:0, Discovered faults:{'596_s-a-1'} 
Wire:597, Value:1, Discovered faults:{'597_s-a-0'} 
Wire:598, Value:1, Discovered faults:{'598_s-a-0'} 
Wire:599, Value:0, Discovered faults:{'599_s-a-1'} 
Wire:603, Value:1, Discovered faults:{'603_s-a-0'} 
Wire:607, Value:0, Discovered faults:{'607_s-a-1'} 
Wire:610, Value:0, Discovered faults:{'610_s-a-1'} 
Wire:613, Value:1, Discovered faults:{'613_s-a-0'} 
Wire:616, Value:0, Discovered faults:{'616_s-a-1'} 
Wire:619, Value:1, Discovered faults:{'619_s-a-0'} 
Wire:625, Value:1, Discovered faults:{'625_s-a-0'} 
Wire:631, Value:1, Discovered faults:{'631_s-a-0'} 
Wire:1042, Value:0, Discovered faults:{'135_s-a-1', '1042_s-a-1'} 
Wire:1043, Value:0, Discovered faults:{'591_s-a-0', '1043_s-a-1'} 
Wire:1067, Value:1, Discovered faults:{'595_s-a-1', '1067_s-a-0'} 
Wire:1080, Value:1, Discovered faults:{'1080_s-a-0', '596_s-a-1'} 
Wire:1092, Value:0, Discovered faults:{'597_s-a-0', '1092_s-a-1'} 
Wire:1104, Value:0, Discovered faults:{'1104_s-a-1', '598_s-a-0'} 
Wire:1_1, Value:0, Discovered faults:{'1_1_s-a-1', '1_s-a-1'} 
Wire:1_2, Value:0, Discovered faults:{'1_2_s-a-1', '1_s-a-1'} 
Wire:4_1, Value:1, Discovered faults:{'4_1_s-a-0', '4_s-a-0'} 
Wire:4_2, Value:1, Discovered faults:{'4_s-a-0', '4_2_s-a-0'} 
Wire:4_3, Value:1, Discovered faults:{'4_3_s-a-0', '4_s-a-0'} 
Wire:4_4, Value:1, Discovered faults:{'4_4_s-a-0', '4_s-a-0'} 
Wire:4_5, Value:1, Discovered faults:{'4_5_s-a-0', '4_s-a-0'} 
Wire:4_6, Value:1, Discovered faults:{'4_6_s-a-0', '4_s-a-0'} 
Wire:11_1, Value:1, Discovered faults:{'11_s-a-0', '11_1_s-a-0'} 
Wire:11_2, Value:1, Discovered faults:{'11_s-a-0', '11_2_s-a-0'} 
Wire:14_1, Value:0, Discovered faults:{'14_s-a-1', '14_1_s-a-1'} 
Wire:14_2, Value:0, Discovered faults:{'14_s-a-1', '14_2_s-a-1'} 
Wire:17_1, Value:1, Discovered faults:{'17_s-a-0', '17_1_s-a-0'} 
Wire:17_2, Value:1, Discovered faults:{'17_s-a-0', '17_2_s-a-0'} 
Wire:20_1, Value:1, Discovered faults:{'20_s-a-0', '20_1_s-a-0'} 
Wire:20_2, Value:1, Discovered faults:{'20_s-a-0', '20_2_s-a-0'} 
Wire:27_1, Value:0, Discovered faults:{'27_1_s-a-1', '27_s-a-1'} 
Wire:27_2, Value:0, Discovered faults:{'27_2_s-a-1', '27_s-a-1'} 
Wire:27_3, Value:0, Discovered faults:{'27_3_s-a-1', '27_s-a-1'} 
Wire:31_1, Value:0, Discovered faults:{'31_s-a-1', '31_1_s-a-1'} 
Wire:31_2, Value:0, Discovered faults:{'31_s-a-1', '31_2_s-a-1'} 
Wire:34_1, Value:0, Discovered faults:{'34_1_s-a-1', '34_s-a-1'} 
Wire:34_2, Value:0, Discovered faults:{'34_2_s-a-1', '34_s-a-1'} 
Wire:37_1, Value:0, Discovered faults:{'37_s-a-1', '37_1_s-a-1'} 
Wire:37_2, Value:0, Discovered faults:{'37_s-a-1', '37_2_s-a-1'} 
Wire:40_1, Value:0, Discovered faults:{'40_s-a-1', '40_1_s-a-1'} 
Wire:40_2, Value:0, Discovered faults:{'40_s-a-1', '40_2_s-a-1'} 
Wire:43_1, Value:0, Discovered faults:{'43_1_s-a-1', '43_s-a-1'} 
Wire:43_2, Value:0, Discovered faults:{'43_s-a-1', '43_2_s-a-1'} 
Wire:46_1, Value:1, Discovered faults:{'46_1_s-a-0', '46_s-a-0'} 
Wire:46_2, Value:1, Discovered faults:{'46_s-a-0', '46_2_s-a-0'} 
Wire:49_1, Value:1, Discovered faults:{'49_1_s-a-0', '49_s-a-0'} 
Wire:49_2, Value:1, Discovered faults:{'49_2_s-a-0', '49_s-a-0'} 
Wire:54_1, Value:0, Discovered faults:{'54_s-a-1', '54_1_s-a-1'} 
Wire:54_2, Value:0, Discovered faults:{'54_2_s-a-1', '54_s-a-1'} 
Wire:54_3, Value:0, Discovered faults:{'54_3_s-a-1', '54_s-a-1'} 
Wire:54_4, Value:0, Discovered faults:{'54_4_s-a-1', '54_s-a-1'} 
Wire:54_5, Value:0, Discovered faults:{'54_s-a-1', '54_5_s-a-1'} 
Wire:54_6, Value:0, Discovered faults:{'54_6_s-a-1', '54_s-a-1'} 
Wire:61_1, Value:1, Discovered faults:{'61_s-a-0', '61_1_s-a-0'} 
Wire:61_2, Value:1, Discovered faults:{'61_s-a-0', '61_2_s-a-0'} 
Wire:64_1, Value:0, Discovered faults:{'64_s-a-1', '64_1_s-a-1'} 
Wire:64_2, Value:0, Discovered faults:{'64_s-a-1', '64_2_s-a-1'} 
Wire:67_1, Value:0, Discovered faults:{'67_1_s-a-1', '67_s-a-1'} 
Wire:67_2, Value:0, Discovered faults:{'67_2_s-a-1', '67_s-a-1'} 
Wire:70_1, Value:1, Discovered faults:{'70_s-a-0', '70_1_s-a-0'} 
Wire:70_2, Value:1, Discovered faults:{'70_s-a-0', '70_2_s-a-0'} 
Wire:73_1, Value:1, Discovered faults:{'73_1_s-a-0', '73_s-a-0'} 
Wire:73_2, Value:1, Discovered faults:{'73_s-a-0', '73_2_s-a-0'} 
Wire:76_1, Value:0, Discovered faults:{'76_s-a-1', '76_1_s-a-1'} 
Wire:76_2, Value:0, Discovered faults:{'76_s-a-1', '76_2_s-a-1'} 
Wire:83_1, Value:0, Discovered faults:{'83_s-a-1', '83_1_s-a-1'} 
Wire:83_2, Value:0, Discovered faults:{'83_2_s-a-1', '83_s-a-1'} 
Wire:88_1, Value:1, Discovered faults:{'88_1_s-a-0', '88_s-a-0'} 
Wire:88_2, Value:1, Discovered faults:{'88_s-a-0', '88_2_s-a-0'} 
Wire:91_1, Value:1, Discovered faults:{'91_1_s-a-0', '91_s-a-0'} 
Wire:91_2, Value:1, Discovered faults:{'91_s-a-0', '91_2_s-a-0'} 
Wire:94_1, Value:1, Discovered faults:{'94_s-a-0', '94_1_s-a-0'} 
Wire:94_2, Value:1, Discovered faults:{'94_2_s-a-0', '94_s-a-0'} 
Wire:97_1, Value:0, Discovered faults:{'97_s-a-1', '97_1_s-a-1'} 
Wire:97_2, Value:0, Discovered faults:{'97_s-a-1', '97_2_s-a-1'} 
Wire:100_1, Value:0, Discovered faults:{'100_s-a-1', '100_1_s-a-1'} 
Wire:100_2, Value:0, Discovered faults:{'100_2_s-a-1', '100_s-a-1'} 
Wire:103_1, Value:1, Discovered faults:{'103_s-a-0', '103_1_s-a-0'} 
Wire:103_2, Value:1, Discovered faults:{'103_s-a-0', '103_2_s-a-0'} 
Wire:106_1, Value:1, Discovered faults:{'106_s-a-0', '106_1_s-a-0'} 
Wire:106_2, Value:1, Discovered faults:{'106_s-a-0', '106_2_s-a-0'} 
Wire:109_1, Value:0, Discovered faults:{'109_s-a-1', '109_1_s-a-1'} 
Wire:109_2, Value:0, Discovered faults:{'109_s-a-1', '109_2_s-a-1'} 
Wire:123_1, Value:1, Discovered faults:{'123_s-a-0', '123_1_s-a-0'} 
Wire:123_2, Value:1, Discovered faults:{'123_2_s-a-0', '123_s-a-0'} 
Wire:132_1, Value:0, Discovered faults:{'132_1_s-a-1', '132_s-a-1'} 
Wire:132_2, Value:0, Discovered faults:{'132_s-a-1', '132_2_s-a-1'} 
Wire:137_1, Value:0, Discovered faults:{'137_1_s-a-1', '137_s-a-1'} 
Wire:137_2, Value:0, Discovered faults:{'137_2_s-a-1', '137_s-a-1'} 
Wire:141_1, Value:0, Discovered faults:{'141_s-a-1', '141_1_s-a-1'} 
Wire:141_2, Value:0, Discovered faults:{'141_2_s-a-1', '141_s-a-1'} 
Wire:141_3, Value:0, Discovered faults:{'141_3_s-a-1', '141_s-a-1'} 
Wire:146_1, Value:1, Discovered faults:{'146_1_s-a-0', '146_s-a-0'} 
Wire:146_2, Value:1, Discovered faults:{'146_2_s-a-0', '146_s-a-0'} 
Wire:149_1, Value:1, Discovered faults:{'149_s-a-0', '149_1_s-a-0'} 
Wire:149_2, Value:1, Discovered faults:{'149_s-a-0', '149_2_s-a-0'} 
Wire:152_1, Value:1, Discovered faults:{'152_1_s-a-0', '152_s-a-0'} 
Wire:152_2, Value:1, Discovered faults:{'152_2_s-a-0', '152_s-a-0'} 
Wire:155_1, Value:0, Discovered faults:{'155_s-a-1', '155_1_s-a-1'} 
Wire:155_2, Value:0, Discovered faults:{'155_2_s-a-1', '155_s-a-1'} 
Wire:158_1, Value:0, Discovered faults:{'158_1_s-a-1', '158_s-a-1'} 
Wire:158_2, Value:0, Discovered faults:{'158_2_s-a-1', '158_s-a-1'} 
Wire:161_1, Value:1, Discovered faults:{'161_1_s-a-0', '161_s-a-0'} 
Wire:161_2, Value:1, Discovered faults:{'161_s-a-0', '161_2_s-a-0'} 
Wire:164_1, Value:0, Discovered faults:{'164_s-a-1', '164_1_s-a-1'} 
Wire:164_2, Value:0, Discovered faults:{'164_2_s-a-1', '164_s-a-1'} 
Wire:167_1, Value:0, Discovered faults:{'167_s-a-1', '167_1_s-a-1'} 
Wire:167_2, Value:0, Discovered faults:{'167_s-a-1', '167_2_s-a-1'} 
Wire:170_1, Value:0, Discovered faults:{'170_s-a-1', '170_1_s-a-1'} 
Wire:170_2, Value:0, Discovered faults:{'170_s-a-1', '170_2_s-a-1'} 
Wire:173_1, Value:1, Discovered faults:{'173_1_s-a-0', '173_s-a-0'} 
Wire:173_2, Value:1, Discovered faults:{'173_2_s-a-0', '173_s-a-0'} 
Wire:176_1, Value:0, Discovered faults:{'176_s-a-1', '176_1_s-a-1'} 
Wire:176_2, Value:0, Discovered faults:{'176_2_s-a-1', '176_s-a-1'} 
Wire:179_1, Value:0, Discovered faults:{'179_1_s-a-1', '179_s-a-1'} 
Wire:179_2, Value:0, Discovered faults:{'179_2_s-a-1', '179_s-a-1'} 
Wire:182_1, Value:1, Discovered faults:{'182_s-a-0', '182_1_s-a-0'} 
Wire:182_2, Value:1, Discovered faults:{'182_s-a-0', '182_2_s-a-0'} 
Wire:185_1, Value:1, Discovered faults:{'185_1_s-a-0', '185_s-a-0'} 
Wire:185_2, Value:1, Discovered faults:{'185_2_s-a-0', '185_s-a-0'} 
Wire:188_1, Value:0, Discovered faults:{'188_s-a-1', '188_1_s-a-1'} 
Wire:188_2, Value:0, Discovered faults:{'188_2_s-a-1', '188_s-a-1'} 
Wire:191_1, Value:1, Discovered faults:{'191_1_s-a-0', '191_s-a-0'} 
Wire:191_2, Value:1, Discovered faults:{'191_2_s-a-0', '191_s-a-0'} 
Wire:194_1, Value:0, Discovered faults:{'194_1_s-a-1', '194_s-a-1'} 
Wire:194_2, Value:0, Discovered faults:{'194_2_s-a-1', '194_s-a-1'} 
Wire:197_1, Value:0, Discovered faults:{'197_1_s-a-1', '197_s-a-1'} 
Wire:197_2, Value:0, Discovered faults:{'197_2_s-a-1', '197_s-a-1'} 
Wire:200_1, Value:0, Discovered faults:{'200_1_s-a-1', '200_s-a-1'} 
Wire:200_2, Value:0, Discovered faults:{'200_2_s-a-1', '200_s-a-1'} 
Wire:203_1, Value:0, Discovered faults:{'203_s-a-1', '203_1_s-a-1'} 
Wire:203_2, Value:0, Discovered faults:{'203_s-a-1', '203_2_s-a-1'} 
Wire:206_1, Value:1, Discovered faults:{'206_s-a-0', '206_1_s-a-0'} 
Wire:206_2, Value:1, Discovered faults:{'206_s-a-0', '206_2_s-a-0'} 
Wire:210_1, Value:0, Discovered faults:{'210_s-a-1', '210_1_s-a-1'} 
Wire:210_2, Value:0, Discovered faults:{'210_2_s-a-1', '210_s-a-1'} 
Wire:210_3, Value:0, Discovered faults:{'210_s-a-1', '210_3_s-a-1'} 
Wire:210_4, Value:0, Discovered faults:{'210_4_s-a-1', '210_s-a-1'} 
Wire:210_5, Value:0, Discovered faults:{'210_s-a-1', '210_5_s-a-1'} 
Wire:210_6, Value:0, Discovered faults:{'210_s-a-1', '210_6_s-a-1'} 
Wire:218_1, Value:0, Discovered faults:{'218_1_s-a-1', '218_s-a-1'} 
Wire:218_2, Value:0, Discovered faults:{'218_s-a-1', '218_2_s-a-1'} 
Wire:218_3, Value:0, Discovered faults:{'218_s-a-1', '218_3_s-a-1'} 
Wire:218_4, Value:0, Discovered faults:{'218_s-a-1', '218_4_s-a-1'} 
Wire:218_5, Value:0, Discovered faults:{'218_s-a-1', '218_5_s-a-1'} 
Wire:218_6, Value:0, Discovered faults:{'218_s-a-1', '218_6_s-a-1'} 
Wire:226_1, Value:1, Discovered faults:{'226_s-a-0', '226_1_s-a-0'} 
Wire:226_2, Value:1, Discovered faults:{'226_s-a-0', '226_2_s-a-0'} 
Wire:226_3, Value:1, Discovered faults:{'226_s-a-0', '226_3_s-a-0'} 
Wire:226_4, Value:1, Discovered faults:{'226_s-a-0', '226_4_s-a-0'} 
Wire:226_5, Value:1, Discovered faults:{'226_s-a-0', '226_5_s-a-0'} 
Wire:226_6, Value:1, Discovered faults:{'226_s-a-0', '226_6_s-a-0'} 
Wire:234_1, Value:1, Discovered faults:{'234_1_s-a-0', '234_s-a-0'} 
Wire:234_2, Value:1, Discovered faults:{'234_2_s-a-0', '234_s-a-0'} 
Wire:234_3, Value:1, Discovered faults:{'234_3_s-a-0', '234_s-a-0'} 
Wire:234_4, Value:1, Discovered faults:{'234_4_s-a-0', '234_s-a-0'} 
Wire:234_5, Value:1, Discovered faults:{'234_5_s-a-0', '234_s-a-0'} 
Wire:234_6, Value:1, Discovered faults:{'234_6_s-a-0', '234_s-a-0'} 
Wire:242_1, Value:1, Discovered faults:{'242_1_s-a-0', '242_s-a-0'} 
Wire:242_2, Value:1, Discovered faults:{'242_2_s-a-0', '242_s-a-0'} 
Wire:245_1, Value:1, Discovered faults:{'245_1_s-a-0', '245_s-a-0'} 
Wire:245_2, Value:1, Discovered faults:{'245_2_s-a-0', '245_s-a-0'} 
Wire:248_1, Value:0, Discovered faults:{'248_s-a-1', '248_1_s-a-1'} 
Wire:248_2, Value:0, Discovered faults:{'248_s-a-1', '248_2_s-a-1'} 
Wire:251_1, Value:1, Discovered faults:{'251_s-a-0', '251_1_s-a-0'} 
Wire:251_2, Value:1, Discovered faults:{'251_s-a-0', '251_2_s-a-0'} 
Wire:254_1, Value:1, Discovered faults:{'254_s-a-0', '254_1_s-a-0'} 
Wire:254_2, Value:1, Discovered faults:{'254_s-a-0', '254_2_s-a-0'} 
Wire:257_1, Value:1, Discovered faults:{'257_1_s-a-0', '257_s-a-0'} 
Wire:257_2, Value:1, Discovered faults:{'257_2_s-a-0', '257_s-a-0'} 
Wire:257_3, Value:1, Discovered faults:{'257_3_s-a-0', '257_s-a-0'} 
Wire:257_4, Value:1, Discovered faults:{'257_4_s-a-0', '257_s-a-0'} 
Wire:257_5, Value:1, Discovered faults:{'257_s-a-0', '257_5_s-a-0'} 
Wire:257_6, Value:1, Discovered faults:{'257_s-a-0', '257_6_s-a-0'} 
Wire:265_1, Value:0, Discovered faults:{'265_1_s-a-1', '265_s-a-1'} 
Wire:265_2, Value:0, Discovered faults:{'265_2_s-a-1', '265_s-a-1'} 
Wire:265_3, Value:0, Discovered faults:{'265_3_s-a-1', '265_s-a-1'} 
Wire:265_4, Value:0, Discovered faults:{'265_4_s-a-1', '265_s-a-1'} 
Wire:265_5, Value:0, Discovered faults:{'265_5_s-a-1', '265_s-a-1'} 
Wire:265_6, Value:0, Discovered faults:{'265_6_s-a-1', '265_s-a-1'} 
Wire:273_1, Value:1, Discovered faults:{'273_1_s-a-0', '273_s-a-0'} 
Wire:273_2, Value:1, Discovered faults:{'273_2_s-a-0', '273_s-a-0'} 
Wire:273_3, Value:1, Discovered faults:{'273_3_s-a-0', '273_s-a-0'} 
Wire:273_4, Value:1, Discovered faults:{'273_s-a-0', '273_4_s-a-0'} 
Wire:273_5, Value:1, Discovered faults:{'273_5_s-a-0', '273_s-a-0'} 
Wire:273_6, Value:1, Discovered faults:{'273_s-a-0', '273_6_s-a-0'} 
Wire:281_1, Value:0, Discovered faults:{'281_1_s-a-1', '281_s-a-1'} 
Wire:281_2, Value:0, Discovered faults:{'281_2_s-a-1', '281_s-a-1'} 
Wire:281_3, Value:0, Discovered faults:{'281_3_s-a-1', '281_s-a-1'} 
Wire:281_4, Value:0, Discovered faults:{'281_4_s-a-1', '281_s-a-1'} 
Wire:281_5, Value:0, Discovered faults:{'281_5_s-a-1', '281_s-a-1'} 
Wire:281_6, Value:0, Discovered faults:{'281_6_s-a-1', '281_s-a-1'} 
Wire:289_1, Value:0, Discovered faults:{'289_s-a-1', '289_1_s-a-1'} 
Wire:289_2, Value:0, Discovered faults:{'289_s-a-1', '289_2_s-a-1'} 
Wire:293_1, Value:1, Discovered faults:{'293_1_s-a-0', '293_s-a-0'} 
Wire:293_2, Value:1, Discovered faults:{'293_2_s-a-0', '293_s-a-0'} 
Wire:293_3, Value:1, Discovered faults:{'293_s-a-0', '293_3_s-a-0'} 
Wire:293_4, Value:1, Discovered faults:{'293_4_s-a-0', '293_s-a-0'} 
Wire:293_5, Value:1, Discovered faults:{'293_5_s-a-0', '293_s-a-0'} 
Wire:299_1, Value:0, Discovered faults:{'299_1_s-a-1', '299_s-a-1'} 
